CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Contato;Data_Inicio_Contato;Data_Fim_Contato;Tipo_Endereco;Logradouro;Complemento;Bairro;Cidade;Sigla_UF;Pais;CEP;DDI_Telefone;DDD_Telefone;Telefone;DDI_Fax;DDD_Fax;Fax;Email
00.359.742/0001-08;2023-01-01;2;125513;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Danilo Rodrigo Cisotto;2021-11-12;;;Rua Messias Pereira de Paula, nº 333;Parte 3;Elton Ville;Sorocaba;SP;Brasil;18046640;;15;30316100;;15;30316100;ri@atompar.com.br
00.644.907/0001-93;2023-01-01;1;122919;INVESTCO S.A.;Marilia Barbosa Nogueira;2016-12-14;;;Rua Werner Von Siemens, 111;Prédio 22, bloco A.;Lapa de Baixo;São Paulo;SP;Brasil;05069900;;11;21855907;;11;21855920;ri@edpbr.com.br
00.743.065/0001-27;2023-01-01;2;127090;LITEL PARTICIPACOES S.A.;Marcelle Vasconcellos;2015-07-17;;;Rua da Assembleia, nº 10, 37º andar;3701;Centro;Rio de Janeiro;RJ;Brasil;20011901;;21;21285543;;21;21285501;governance@eximiacapital.com
00.864.214/0001-06;2023-01-01;2;130840;ENERGISA S.A.;Olivia de Lima Teixeira;2022-09-01;;;Praia de Botafogo, n.º 228/13º andar;Ed. Argentina;Botafogo;Rio de Janeiro;RJ;Brasil;22250906;;21;973387943;;;;ri@energisa.com.br
00.897.864/0001-58;2023-01-01;2;126630;SANTA CATARINA PART INVEST SA;Luciano da Silva Spindola;2019-01-28;;;Rodovia SC 401, km 5 , nº 4600.;Bloco 3, Atico;Saco Grande II;Florianópolis;SC;Brasil;88032000;;048;36652794;;048;36652794;invesc@sefaz.sc.gov.br
00.974.211/0001-25;2023-01-01;2;127117;Linha Amarela S.A. - LAMSA;Hugo Miguel Varela Repolho;2021-05-13;2021-10-31;;Avenida Almirante Barroso, 52;Sl 3001 e 3002;Centro;Cruzeiro do Sul;SP;Brasil;20031000;;021;22111300;;021;22111300;DRI@lamsa.com.br
00.974.211/0001-25;2023-01-01;2;127117;Linha Amarela S.A. - LAMSA;Marcelo Santos;2021-01-25;2021-05-12;;Avenida Almirante Barroso, 52;Sl 3001 e 3002;Centro;Rio de Janeiro;RJ;Brasil;20031000;;021;22111300;;021;22111300;DRI@lamsa.com.br
00.974.211/0001-25;2023-01-01;2;127117;Linha Amarela S.A. - LAMSA;Marcus Vinicius Figur da Rosa;2021-11-01;;;Praia de Botafogo, nº 501;Loja H;Botafogo;Rio de Janeiro;RJ;Brasil;22250911;;21;22111300;;;;dri@lamsa.com.br
01.027.058/0001-91;2023-01-01;1;124057;CIELO S.A. -  Instituição de Pagamento;Daniel Henrique de Sousa Diniz;2020-11-04;;;Rua Leopoldo Couto de Magalhães, 758;5 andar;Itaim Bibi;São Paulo;SP;Brasil;04542000;;11;25968453;;11;21847499;ri@cielo.com.br
01.083.200/0001-18;2023-01-01;1;125159;NEOENERGIA S.A.;Renato Rocha;2021-01-19;;;Praia do Flamengo, 78;10º andar;Flamengo;Rio de Janeiro;RJ;Brasil;22210030;;21;32359828;;;;ri@neoenergia.com
01.104.937/0001-70;2023-01-01;2;129224;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Denilson da Silveira Duarte;2021-06-01;;;Rua São Bento - n º 01;9 º andar - sala 902;Centro;Rio de Janeiro;RJ;Brasil;20090010;;21;25145557;;;;diretoria.investidores@eletrobraspar.com.br
01.258.944/0001-26;2023-01-01;2;128268;Rumo Malha Sul S.A.;Gustavo Marder da Rosa;2017-10-05;;;Rua Emílio Bertolini;100;Cajuru;Curitiba;PR;Brasil;82920030;;41;21417555;;41;33656566;ir@rumolog.com
01.319.044/0001-41;2023-01-01;2;127481;WTC AMAZONAS SUITE HOTEL S.A.;BRUNO DE MELLO BOMENY;2021-05-03;;;RUA ESTADOS UNIDOS, Nº 1093;SALA 10;JARDIM AMERICA;São Paulo;SP;Brasil;01427001;;11;30824008;;11;30824008;intercorpconsultoria@uol.com.br
01.417.222/0001-77;2023-01-01;1;124342;MRS LOGISTICA S.A.;Douglas da Silva Coutinho;2018-08-14;;;Praia de Botafogo, 228;Sala 707;Botafogo;Rio de Janeiro;RJ;Brasil;22250906;;21;25594601;;21;25594613;financeiro.ri@mrs.com.br
01.543.032/0001-04;2023-01-01;4;126952;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;Daniel Spencer Pioner;2022-12-29;;;SCS, Quadra 09, Lote C, Torre A, Parque Cidade Corporate;12º andar;Asa Sul;Brasília;DF;Brasil;70308200;;61;34261000;;61;34261000;ri@equatorialenergia.com.br
01.545.826/0001-07;2023-01-01;3;125696;GAFISA S.A.;Luiz Fernando Ortiz;2022-08-30;;;Av. Juscelino Kubitschek, 1830;3° andar, Torre 2;Itaim Bibi;São Paulo;SP;Brasil;04543900;;011;30259242;;011;30259348;ri@gafisa.com.br
01.547.749/0001-16;2023-01-01;2;127104;521 PARTICIPACOES S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL;Marcelle Vasconcellos;2018-05-03;;;Av Ayrton Senna;3000 - sala 4098;Barra da Tijuca;Rio de Janeiro;RJ;Brasil;22775003;;21;35960400;;;;governance@eximiacapital.com
01.548.981/0001-79;2023-01-01;2;125145;INVESTIMENTOS BEMGE S.A.;Itaú Corretora de Valores S.A.;2010-08-31;;;DSMC - SSCO - Gerência de Escrituração - Rua Ururaí, 111;Prédio B - Terreo;Tatuapé;São Paulo;SP;Brasil;03084010;;11;30039285;;;;atendimentoescrituracao@itau-unibanco.com.br
01.599.101/0001-93;2023-01-01;2;130602;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Nara Curry de Mattos;2022-12-01;;;Avenida Isaltino Victor de Moraes, 437, Térreo;Módulo D, Bloco 100;Vila Bonfim;Embu das Artes;SP;Brasil;06806400;;11;43918800;;;;nara.cury@sequoialog.com.br
01.616.929/0001-02;2023-01-01;2;123337;SANEAMENTO DE GOIAS SA;Élvio Luis Nogueira da Silva;2023-02-01;;;Av. Fued José Sebba, nº 1245;Ed. Sede;Jardim Goiás;Goiânia;GO;Brasil;74805100;;62;32433112;;62;32433166;ri@saneago.com.br
01.637.895/0001-32;2023-01-01;2;126265;Votorantim Cimentos S.A.;Ellen Kazuco Utiama Suzuki;2019-11-01;;;Rua Gomes de Carvalho 1996, 12º andar;conjunto 122;Vila Olímpia;São Paulo;SP;Brasil;04547905;;11;45724000;;;;vc-ri@vcimentos.com
01.838.723/0001-27;2023-01-01;3;125314;BRF S.A.;Fabio Luis Mendes Mariano;2022-04-06;;;Av. das Nações Unidas, 14401;22º Andar;Chác. Santo Antonio;São Paulo;SP;Brasil;04730090;;11;23225377;;;;acoesri@brf.com
01.917.818/0001-36;2023-01-01;1;125491;LIGHT ENERGIA S.A.;Rodrigo Domingues Vilela;2019-08-12;;;Avenida Marechal Floriano;168;Centro;Rio de Janeiro;RJ;Brasil;20080002;;21;22112623;;00;00000000;ri@light.com.br
01.938.783/0001-11;2023-01-01;2;130753;CIA PARTICIPACOES ALIANCA DA BAHIA;Ana Cristina Moreira Pinto;2009-01-01;;;Av. Professor Magalhães Neto, 1.752;11º andar;Pituba;Salvador;BA;Brasil;41810012;;71;36161013;;;;aliancaparticipacoes@alba.com.br
01.989.044/0001-59;2023-01-01;2;127482;WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.;BRUNO DE MELLO BOMENY;2021-05-03;;;RUA ESTADOS UNIDOS, Nº 1093;SALA 9;JARDIM AMERICA;São Paulo;SP;Brasil;01427001;;11;30824008;;11;30824008;intercorpconsultoria@uol.com.br
02.016.440/0001-62;2023-01-01;1;127152;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;Carlos Victor Pereira Sicard Cyrino;2019-06-01;;;Rua Jorge de Figueiredo Corrêa,1632;Parte;Jd. Prof° Tarcília;Campinas;SP;Brasil;13087397;;019;37568458;;;;ri@cpfl.com.br
02.117.801/0001-67;2023-01-01;2;127103;BONAIRE PARTICIPACOES S.A. - EM LIQUIDAÇÃO;Marcelle Vasconcellos;2015-07-27;;;Rua da Assembleia, nº 10, 37º andar;3701;Centro;Rio de Janeiro;RJ;Brasil;20011000;;21;21285543;;21;21285501;eximia@eximiacapital.com
02.162.616/0001-94;2023-01-01;2;127094;UPTICK PARTICIPACOES S.A.;Marcelle Santos de Vasconcellos;2015-09-01;;;Av Ayrton Senna;3000 - sala 4098;Barra da Tijuca;Rio de Janeiro;RJ;Brasil;22775003;;21;35960400;;;;governance@eximiacapital.com
02.193.750/0001-52;2023-01-01;1;125284;DEXXOS PARTICIPAÇÕES S.A.;George Abi-Rihan Cordeiro;2020-10-19;;;Rua do Passeio, 70;5º andar;Centro;Rio de Janeiro;RJ;Brasil;20021290;;21;22124757;;21;22124713;dri@dexxos.com.br
02.255.187/0001-08;2023-01-01;1;127533;Unifique Telecomunicações S.A.;José Wilson Souza Junior;2021-05-11;;;Rua Duque de Caxias, nº 831;;Centro;Timbó;SC;Brasil;89120000;;47;33802108;;47;33802108;jose.junior@redeunifique.com.br
02.258.422/0001-97;2023-01-01;1;127306;INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;MANACESAR LOPES DOS SANTOS;2022-01-27;;;Alameda Dr. Carlos de Carvalho, nº 373;Conj 1101-11º andar;Centro;Curitiba;PR;Brasil;80410180;;41;30251316;;41;30251309;ri@inepar.com.br
02.286.479/0001-08;2023-01-01;1;127887;Localiza Fleet S.A.;Nora Mascarenhas Lanari;2012-11-08;;;Avenida Bernardo de Vasconcelos, 377;;Cachoeirinha;Belo Horizonte;MG;Brasil;31150000;;31;32477024;;31;32477755;mercado.capitais@localiza.com
02.291.077/0001-93;2023-01-01;1;125995;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;NANCI TURIBIO GUIMARÃES;2006-06-20;;;Rua São José, 90;grupo 2001;Centro;Rio de Janeiro;RJ;Brasil;20010020;;21;24905340;;21;24905340;nanci@bullfinance.com.br
02.302.100/0001-06;2023-01-01;2;125037;EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.;Marilia Barbosa Nogueira;2014-06-03;;;Rua Werner Von Siemens, 111;Prédio 22, bloco A.;Lapa de Baixo;São Paulo;SP;Brasil;05069900;;11;21855907;;11;21855920;ri@edpbr.com.br
02.302.101/0001-42;2023-01-01;1;126911;EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.;Cairê Moura Franco;2018-08-01;;;Avenida Jornalista Roberto Marinho, 85;16º e 17º andares;Cidade Monções;São Paulo;SP;Brasil;04576010;;11;27636502;;11;38881821;riemae@emae.com.br
02.328.280/0001-97;2023-01-01;1;125156;ELEKTRO REDES S.A.;Renato Rocha;2021-01-19;;;Praia do Flamengo, 78;10º andar;Flamengo;Rio de Janeiro;RJ;Brasil;22210030;;21;32359828;;;;ri@neoenergia.com
02.351.144/0001-18;2023-01-01;1;127788;TEGMA GESTAO LOGISTICA S.A.;Ian Nunes Costa e Costa;2012-10-31;;;Av Nicola Demarchi, 2000;;Demarchi;São Bernardo do Campo;SP;Brasil;09820655;;11;43979423;;11;43979423;ian.nunes@tegma.com.br
02.365.069/0001-44;2023-01-01;1;127377;PADTEC HOLDING S.A.;Daniela Tinoco;2020-07-10;;;Rua Dr. Ricardo Benetton Martins nº 1.000;Parque II;Polo Alta Tecnologia;Campinas;SP;Brasil;13086510;;019;21049703;;;;ri@padtec.com.br
02.387.241/0001-60;2023-01-01;2;128264;RUMO S.A.;Gustavo Marder da Rosa;2017-10-05;;;Emilio Bertolini, 100;n/a;Cajuru;Curitiba;PR;Brasil;82920030;;41;21417555;;41;33656566;ir@rumolog.com
02.397.080/0001-96;2023-01-01;1;125157;ITAPEBI GERACAO DE ENERGIA S.A.;Renato Rocha;2021-01-19;;;Praia do Flamengo, 78;10º andar;Flamengo;Rio de Janeiro;RJ;Brasil;22210030;;21;32359828;;;;ri@neoenergia.com
02.415.408/0001-50;2023-01-01;1;127270;CONC ROD.OESTE SP VIAOESTE S.A;Fausto Camilotti;2022-08-31;;;Rod. Pres. Castello Branco, KM 24 - lado par sentido capital;Conjunto Norte;Jardim Mutinga;Barueri;SP;Brasil;06463400;;11;26646000;;11;26646121;cvm.viaoeste@grupoccr.com.br
02.421.421/0001-11;2023-01-01;2;128050;TIM S.A.;Alberto Mario Griselli;2023-02-01;;;Avenida João Cabral de Melo Neto, nº 850,;Torre Sul, 12º andar;Barra da Tijuca;Rio de Janeiro;RJ;Brasil;2277505;;21;41094167;;21;41094542;ri@timbrasil.com.br
02.429.144/0001-93;2023-01-01;1;127139;CPFL ENERGIA S.A.;Carlos Victor Pereira Sicard Cyrino;2019-06-01;;;Rua Jorge de Figueiredo Corrêa;1632, parte;Jd Prof. Tarcília;Campinas;SP;Brasil;13087397;;019;37568458;;;;ri@cpfl.com.br
02.451.848/0001-62;2023-01-01;1;127269;CONC SIST ANHANG-BANDEIRANT S.A. AUTOBAN;Fausto Camilotti;2022-08-12;;;Avenida Professora Maria do Carmo Guimarães Pellegrini, 200;Bloco E;Retiro;Jundiaí;SP;Brasil;13209500;;011;45894005;;011;45894006;invest@grupoccr.com.br
02.474.103/0001-19;2023-01-01;2;130809;ENGIE BRASIL ENERGIA S.A.;RAFAEL JOSÉ CARON BÓSIO;2015-11-01;;;Rua Paschoal Apóstolo Pítsica, 5064;;Agronômica;Florianópolis;SC;Brasil;88025255;;48;32217246;;48;32217246;ri.brenergia@engie.com
02.502.844/0001-66;2023-01-01;2;128267;RUMO MALHA PAULISTA S.A.;Gustavo Marder da Rosa;2017-10-05;;;Rua Emílio Bertolini;100;Cajuru;Curitiba;PR;Brasil;82920030;;41;21417555;;41;33656566;ir@rumolog.com
02.558.157/0001-62;2023-01-01;1;122941;TELEFÔNICA BRASIL S.A;David Melcon Sanchez Friera;2016-04-08;;;Av. Eng. Luis Carlos Berrini, 1376;;Cidade Monções;São Paulo;SP;Brasil;04571936;;11;34303687;;;;ir.br@telefonica.com
02.560.878/0001-07;2023-01-01;2;123483;HOSPITAL ANCHIETA S.A.;Elias Leal Lima;2023-01-20;;;Área Especial, 8/9/10;Setor C Norte;Taguatinga;Brasília;DF;Brasil;72115700;;27;33464232;;;;ri@korasaude.com.br
02.591.787/0001-39;2023-01-01;1;123376;CAPITALPART PARTICIPACOES S.A.;José Carlos Rodrigues Rosa;2022-05-03;;;Avenida das Américas 4200 bl. 7A;Salas 107 A 110;Barra da Tijuca;Rio de Janeiro;RJ;Brasil;22640102;;21;32636600;;21;32636600;jose.rosa@rrlaw.com.br
02.600.854/0001-34;2023-01-01;3;128059;Tim Brasil Serviços e Participações S.A.;Mario Girasole;2023-02-01;;;Avenida João Cabral de Melo Neto, nº 850;Torre Sul, 12º andar;Barra da Tijuca;Rio de Janeiro;RJ;Brasil;22775057;;21;41094167;;21;41094542;ri@timbrasilpart.com.br
02.682.287/0001-02;2023-01-01;2;128425;PAN Financeira S.A. - Crédito, Financiamento e Investimento;Leonardo Ricci Scutti;2023-04-25;;;Av Paulista 1374;15º andar;Bela Vista;São Paulo;SP;Brasil;0131010;;11;32645343;;;;ri@grupopan.com
02.762.113/0001-50;2023-01-01;2;128605;BRAZILIAN FINANCE E REAL ESTATE S.A.;Leonardo Ricci Scutti;2023-04-25;;;Av Paulista 1374;16;Bela Vista;São Paulo;SP;Brasil;0131010;;11;990000000;;;;ri@grupopan.com
02.762.121/0001-04;2023-01-01;1;127437;SANTOS BRASIL PARTICIPACOES S.A.;Juliano Martins Navarro;2017-05-16;;;Rua Joaquim Floriano, 413 - 10º andar;cj 101 e 102;Itaim Bibi;São Paulo;SP;Brasil;04534011;;11;32793279;;;;dri@santosbrasil.com.br
02.800.026/0001-40;2023-01-01;3;129869;COGNA EDUCAÇÃO S.A.;Frederico da Cunha Villa;2021-04-13;;;Av. Paulista, 901;2º Andar;Bela Vista;São Paulo;SP;Brasil;01310100;;11;31337309;;11;31337309;dri@cogna.com.br
02.846.056/0001-97;2023-01-01;1;127614;CCR S.A.;Flávia Godoy de Carvalho e Silva;2021-05-01;;;Av. Chedid Jaffet, 222;Bloco B, 5º Andar;Vila Olímpia;São Paulo;SP;Brasil;04551065;;11;30485955;;11;30485903;invest@grupoccr.com.br
02.916.265/0001-60;2023-01-01;1;125253;JBS S.A.;Christiane Assis;2019-05-20;;;Av. Marginal Direita do Tietê, 500;Bloco 3 - 3º andar;Vila Jaguara;São Paulo;SP;Brasil;05118100;;011;31444224;;011;31444279;ri@jbs.com.br
02.932.074/0001-91;2023-01-01;1;128393;HYPERA S.A.;Douglas Henrique Furlan;2018-01-15;;;Av. Magalhães de Castro, 4.800;24º andar - Torre 3;Cidade Jardim;São Paulo;SP;Brasil;05502001;;11;36274206;;11;36274371;ri@hypera.com.br
02.950.811/0001-89;2023-01-01;1;123452;PDG REALTY S.A. EMPREEND E PARTICIPACOES;Renato Barboza;2015-06-27;;;Avenida Doutor Cardoso de Melo, 1.855;6º andar;Vila Olimpia;São Paulo;SP;Brasil;04548005;;5511;21104410;;5511;21104410;RI@PDG.COM.BR
02.998.301/0001-81;2023-01-01;2;128661;RIO PARANAPANEMA ENERGIA S.A.;Kelly Cristine Barna;2021-10-06;2023-06-15;;Rua Funchal, 418;2º andar;Vila Olimpia;São Paulo;SP;Brasil;04551060;;11;950533669;;11;55013573;kelly.barna@ctgbr.com.br
02.998.301/0001-81;2023-01-01;2;128661;RIO PARANAPANEMA ENERGIA S.A.;Luís Fernando Lisboa Humphreys;2023-06-16;;;Rua Funchal 418;3º andar;Vila Olímpia;São Paulo;SP;Brasil;04551060;;11;984648334;;;;ri@ctgbr.com.br
02.998.611/0001-04;2023-01-01;1;124961;CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA;Bruno Laurentys;2022-01-10;;;Av. das Nações Unidas 14171 - Torre Crystal;7º andar;Vila Gertrudes;São Paulo;SP;Brasil;04794000;;011;31387557;;011;31387161;ri@isacteep.com.br
03.220.438/0001-73;2023-01-01;1;124976;EQUATORIAL ENERGIA S.A.;Daniel Spencer Pioner;2021-02-01;;;SCS, Quadra 09, Lote C, Torre A, Parque Cidade Corporate;12º andar;Asa Sul;Brasília;DF;Brasil;70308200;;61;34261000;;61;34261000;ri@equatorialenergia.com.br
03.279.285/0001-30;2023-01-01;1;128017;Orizon Meio Ambiente S.A.;Leonardo Roberto Pereira dos Santos;2022-10-03;;;Avenida das Nações Unidas;8º andar, Sala A;Brooklin Paulista;São Paulo;SP;Brasil;04578910;;11;51035300;;;;ri@orizonvr.com.br
03.303.999/0001-36;2023-01-01;1;124745;DTCOM - DIRECT TO COMPANY S.A.;CRISTIANE DE FATIMA FIALLA;2011-01-10;;;AVENIDA DOM PEDRO II;1720;COAB;Quatro Barras;PR;Brasil;83420000;;41;36716040;;41;36719000;cristiane@dtcom.com.br
03.342.704/0001-30;2023-01-01;1;127831;PETRORECÔNCAVO S.A.;Rafael Procaci da Cunha;2021-02-23;;;Av. Luis Viana Filho, 13.223, Hangar Business Park, Torre 6;salas 611 a 620;São Cristóvão;Salvador;BA;Brasil;41500300;;71;36350207;;;;ri@petroreconcavo.com.br
03.378.521/0001-75;2023-01-01;3;126905;LIGHT S.A. - Em Recuperação Judicial;Rodrigo Vilela;2019-08-11;;;Av. Marechal Floriano 168;bloco 1 - 2 andar;Centro;Rio de Janeiro;RJ;Brasil;20080002;;21;22117032;;00;0000000000;rodrigo.vilela@light.com.br
03.467.321/0001-99;2023-01-01;2;130843;ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A;Olivia de Lima Teixeira;2022-09-01;;;Praia de Botafogo, n.º 228/13º andar;Ed. Argentina;Botafogo;Rio de Janeiro;RJ;Brasil;22250906;;21;973387943;;;;ri@energisa.com.br
03.494.776/0001-01;2023-01-01;2;128214;AMMO VAREJO S.A.;Antony José Souza Martins;2021-06-30;;;Avenida Paulista 1.754;2ª sobreloja;Cerqueira César;São Paulo;SP;Brasil;01310200;;11;21454425;;;;ri@ammovarejo.com.br
03.758.318/0001-24;2023-01-01;2;127116;INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR;Hugo Miguel Varela Repolho;2021-05-13;2021-10-31;;Avenida Almirante Barroso, 52;SL 3001 e 3002;Centro;Rio de Janeiro;RJ;Brasil;20031000;;021;22111300;;021;22111300;invest@invepar.com.br
03.758.318/0001-24;2023-01-01;2;127116;INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR;Marcelo Santos;2021-01-25;2021-05-12;;Avenida Almirante Barroso, nº 52;Sl 3001 e 3002;Centro;Rio de Janeiro;RJ;Brasil;20031000;;021;22111300;;021;22111313;marcelo.santos@invepar.com.br
03.758.318/0001-24;2023-01-01;2;127116;INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR;Marcus Vinicius Figur da Rosa;2021-11-01;;;Praia de Botafogo, nº 501;Loja H;Botafogo;Rio de Janeiro;RJ;Brasil;22250911;;21;22111300;;;;invest@invepar.com.br
03.767.538/0001-14;2023-01-01;1;127666;BRAZILIAN SECURITIES CIA SECURITIZACAO;Diogo Ciuffo da Silva;2022-08-22;;;Avenida Paulista, 1374;16ª andar;Bela Vista;São Paulo;SP;Brasil;01310100;;11;32645343;;11;32645343;ri_bs@grupopan.com
03.767.538/0001-14;2023-01-01;1;127666;BRAZILIAN SECURITIES CIA SECURITIZACAO;Mauro Dutra Mediano Dias;2020-03-03;2022-08-21;;Av. Paulista, 1.374;17º andar;Bela Vista;São Paulo;SP;Brasil;01310100;;011;32645343;;;;ri_bs@grupopan.com
03.795.050/0001-09;2023-01-01;1;125152;TERMOPERNAMBUCO S.A.;Renato Rocha;2021-01-19;;;Praia do Flamengo, 78;10º andar;Flamengo;Rio de Janeiro;RJ;Brasil;22210030;;21;32359828;;;;ri@neoenergia.com
03.818.379/0001-30;2023-01-01;2;129872;Saber Serviços Educacionais S.A.;Frederico da Cunha Villa;2021-04-13;;;Av. Paulista, 901;2º Andar;Bela Vista;São Paulo;SP;Brasil;01310100;;11;31337309;;11;31337309;dri@kroton.com.br
03.847.461/0001-92;2023-01-01;1;123406;BRADESPAR S.A.;André Bernardino da Cruz Filho;2009-12-07;;;Núcleo Cidade de Deus, Prédio Amarelo;2º andar;Vila Yara;Osasco;SP;Brasil;06029900;;011;36844522;;011;36845645;dac.acecustodia@bradesco.com.br
03.853.896/0001-40;2023-01-01;1;123962;MARFRIG GLOBAL FOODS S.A.;Marco Antonio Spada;2018-09-03;2020-03-16;;Avenida Queiroz Filho;1560;Vila Leopoldina;São Paulo;SP;Brasil;05319000;;11;37928600;;;;ri@marfrig.com.br
03.853.896/0001-40;2023-01-01;1;123962;MARFRIG GLOBAL FOODS S.A.;Tang David;2020-03-17;;;Avenida Queiroz Filho, 1560;Blc 5, Sl. 301;Vila Hamburguesa;São Paulo;SP;Brasil;05319000;;11;37928600;;11;37928600;ri@marfrig.com.br
03.953.509/0001-47;2023-01-01;1;127145;CPFL GERACAO DE ENERGIA S.A.;Carlos Victor Pereira Sicard Cyrino;2019-06-01;;;Rua Jorge de Figueiredo Corrêa, 1632;parte;Jd Prof. Tarcília;Campinas;SP;Brasil;13087397;;19;37568458;;;;ri@cpfl.com.br
04.069.709/0001-02;2023-01-01;2;128843;Bionexo S.A.;JOSIMAR GOMES;2023-07-01;;;Avenida Juscelino Kubitscheck, 1830;Conjunto 71;Itaim Bibi;São Paulo;SP;Brasil;04543000;;11;31338100;;;;ri@bionexo.com
04.069.709/0001-02;2023-01-01;2;128843;Bionexo S.A.;Lucas Carvalho Zacharias;2021-02-17;2023-06-30;;Avenida Juscelino Kubitschek, 1830;7° andar;Vila Nova Conceição;São Paulo;SP;Brasil;04543000;;11;31338100;;;;ri@bionexo.com
04.149.454/0001-80;2023-01-01;1;123137;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;Marcello Guidotti;2012-05-21;;;Rua Gomes de Carvalho, nº 1.510;Conjuntos 31/32;Vila Olímpia;São Paulo;SP;Brasil;04547005;;11;37872667;;11;37872668;invest@ecorodovias.com.br
