CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Escriturador;CNPJ_Escriturador;Tipo_Endereco;Logradouro;Complemento;Bairro;Cidade;Sigla_UF;Pais;CEP;DDI_Telefone;DDD_Telefone;Telefone;DDI_Fax;DDD_Fax;Fax;Email;Data_Inicio_Atuacao;Data_Fim_Atuacao
01.547.749/0001-16;2020-01-01;2;96463;521 PARTICIPACOES S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL;Banco do Brasil;00.000.000/0001-91;Endereço da Sede;Rua Senador Dantas, 105;38 andar;Centro;Rio de Janeiro;RJ;Brasil;20031204;;021;38086005;;021;38086088;aescriturais@bb.com.br;2001-12-21;
01.548.981/0001-79;2020-01-01;3;97953;INVESTIMENTOS BEMGE S.A.;Itaú Corretora de Valores S.A.;61.194.353/0001-64;Endereço da Sede;Agência Especializada Acionistas - Rua Boa Vista, 176;1º Subsolo;Centro;São Paulo;SP;Brasil;01092900;;11;30039285;;;;escrituracaoacoes@itau-unibanco.com.br;1998-09-28;
01.599.101/0001-93;2020-01-01;3;97522;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Itaú Corretora de Valores S.A.;61.194.353/0001-64;Endereço da Sede;Rua Ururaí, 111;Prédio B - Térreo;Tatuapé;São Paulo;SP;Brasil;03084010;;011;24974529;;011;27973750;adriana.souza@itau-unibanco.com.br;2020-09-10;
01.616.929/0001-02;2020-01-01;3;93203;SANEAMENTO DE GOIAS SA;Banco Bradesco S.A.;60.746.948/0001-12;Endereço da Sede;Cidade de Deus - Prédio Amarelo;2º andar;Vila Yara;Osasco;SP;Brasil;06029900;;11;36849441;;11;36847654;dac.escrituracao@bradesco.com.br;2019-11-25;
01.838.723/0001-27;2020-01-01;1;95241;BRF S.A.;Itau Corretora Valores S.A.;61.194.353/0001-64;Endereço da Sede;Av Brigadeiro Faria Lima, 3.400;10 andar;Pinheiros;São Paulo;SP;Brasil;04538132;;011;30039285;;;;escrituracaoacoes@itau-unibanco.com.br;2013-01-01;
01.851.771/0001-55;2020-01-01;2;95801;524 PARTICIPACOES S.A.;Itaú Corretora de Valores SA;61.194.353/0001-64;Endereço da Sede;AVENIDA BRIGADEIRO FARIA LIMA;3500/3º ANDAR;ITAIMBIBI;Rio de Janeiro;RJ;Brasil;04538132;;11;27974529;;11;27973750;adriana.souza@itau-unibanco.com.br;2015-01-15;
01.896.779/0001-38;2020-01-01;2;96518;CSU CARDSYSTEM S.A.;Itaú Corretora de Valores S/A;61.194.353/0001-64;Endereço para Correspondência;Avenida Brigadeiro Faria Lima;3.400;Itaim Bibi;São Paulo;SP;Brasil;04538133;;11;50291809;;11;50291920;gercina.bueno@itau-unibanco.com.br;2006-03-14;
01.917.818/0001-36;2020-01-01;3;99302;LIGHT ENERGIA S.A.;Banco Bradesco S.A;60.746.948/0001-12;Endereço da Sede;Rua Yara;sem número;Cidade de Deus;Osasco;SP;Brasil;06028100;;11;36842044;;00;0000000000;4010.acoes@bradesco.com.br;2006-01-13;
01.938.783/0001-11;2020-01-01;1;91403;CIA PARTICIPACOES ALIANCA DA BAHIA;Itaú Corretora de Valores S.A.;61.194.353/0001-64;Endereço da Sede;Av Brigadeiro Faria Lima;10º andar;Itaim Bibi;São Paulo;SP;Brasil;40010020;;11;27402597;;11;27973140;escrituracaorendavarial@itau-unibanco.com.br;1997-07-21;
01.957.772/0001-89;2020-01-01;1;96453;SUL 116 PARTICIPACOES S.A.;Itau Corretora de Valores S/A;61.194.353/0001-64;Endereço para Correspondência;Avenida Brigadeiro Faria Lima;3400 10 andar;Itaim Bibi;São Paulo;SP;Brasil;04538132;;011;50297780;;011;50291943;investfone.investimento@itau-unibanco.com.br;2006-09-25;
02.016.440/0001-62;2020-01-01;1;90732;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;Banco Itaú S.A.;60.701.190/0001-04;Endereço da Sede;Pça Alfredo Egidio de Souza Aranha, 100;9 Andar;Jabaquara;São Paulo;SP;Brasil;04344902;;11;50297780;;11;50291920;investfone.investmento@itau-unibanco.com.br;;
02.062.747/0001-08;2020-01-01;2;95803;SUDESTE S.A.;Itaú Corretora de Valores SA;61.194.353/0001-64;Endereço da Sede;AVENIDA BRIGADEIRO FARIA LIMA;3500/3º ANDAR;ITAIMBIBI;Rio de Janeiro;RJ;Brasil;04538132;;11;27974529;;11;27973750;adriana.souza@itau-unibanco.com.br;2015-01-15;
02.084.220/0001-76;2020-01-01;1;96635;NUMERAL 80 PARTICIPAÇÕES S.A.;Itaú Corretora de Valores S.A.;61.194.353/0001-64;Endereço da Sede;Av. Brigadeiro Faria Lima, nº 3400;10º andar;Itaim Bibi;São Paulo;SP;Brasil;04538132;;11;27942572;;11;43392572;gercina.bueno@itau-unibanco.com.br;1997-09-15;
02.117.801/0001-67;2020-01-01;2;96473;BONAIRE PARTICIPACOES S.A. - EM LIQUIDAÇÃO;Banco Bradesco S.A.;60.746.948/0001-12;Endereço da Sede;Núcleo Cidade de Deus, s/n;;Vila Yara;Osasco;SP;Brasil;06020000;;;;;;;;2019-04-24;
02.149.205/0001-69;2020-01-01;1;90316;PORTO SEGURO S.A.;Itaú Corretora de Valores S.A.;61.194.353/0001-64;Endereço da Sede;Avenida Brigadeiro Faria Lima, 3.400;10º andar;Itaim Bibi;São Paulo;SP;Brasil;04538132;;011;27402597;;011;27402571;danilo.alvarenga@itau-unibanco.com.br;2010-04-20;
02.162.616/0001-94;2020-01-01;1;91550;UPTICK PARTICIPACOES S.A.;Itaú Corretora de Valores Mobiliários S/A;61.194.353/0001-64;Endereço da Sede;Rua Ururaí, 111;Prédio B - Térreo;Tatuapé;São Paulo;SP;Brasil;03084010;;011;27974128;;011;27973140;rosane-aparecida.silva@itau-unibanco.com.br;2009-04-02;
02.193.750/0001-52;2020-01-01;6;103561;GPC PARTICIPACOES S.A.;Itaú Corretora de Valores S.A.;61.194.353/0001-64;Endereço da Sede;Rua Ururaí, 111;Prédio B - Térreo;Tatuapé;São Paulo;SP;Brasil;03084010;;011;27974515;;011;27973140;escrituracaoacoes@itau-unibanco.com.br;1997-11-20;
02.217.319/0001-07;2020-01-01;2;95804;ALEF S.A.;Itaú Corretora de Valores SA;61.194.353/0001-64;Endereço da Sede;AVENIDA BRIGADEIRO FARIA LIMA;3500/3º ANDAR;ITAIMBIBI;Rio de Janeiro;RJ;Brasil;04538132;;11;27974529;;11;27973750;adriana.souza@itau-unibanco.com.br;2015-01-15;
02.258.422/0001-97;2020-01-01;3;97715;INEPAR EQUIPAMENTOS E MONTAGENS S/A;BANCO BRADESCO;60.746.948/0001-12;Endereço da Sede;Avenida Yara, s/n;;Cidade de Deus;;SP;Brasil;06029900;;11;36843811;;11;36843811;4010.fabiana@bradesco.com.br;2008-01-15;
02.291.077/0001-93;2020-01-01;1;94132;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;Banco Itaú S/A;60.701.190/0001-04;Endereço da Sede;Praça Alfredo Eghidio de Souza Aranha;100;Jabaquara;São Paulo;SP;Brasil;04344902;;11;50291919;;11;50291917;escrituracaoacoes@itau-unibanco.com.br;2007-04-04;
02.302.101/0001-42;2020-01-01;6;99838;EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.;Banco Brasileiro de Descontos S.A.;60.746.948/0001-12;Endereço para Correspondência;Avenida Iara, s/n;Cidade de Deus;Vila Yara;Osasco;SP;Brasil;06029900;;011;36849495;;011;36843811;4010.acecustodia@bradesco.com.br;2010-01-08;
02.318.346/0001-68;2020-01-01;2;95805;OPPORTUNITY ENERGIA E PARTICIPACOES S.A.;Itaú Corretora de Valores SA;61.194.353/0001-64;Endereço da Sede;AVENIDA BRIGADEIRO FARIA LIMA;3500/3º ANDAR;ITAIMBIBI;Rio de Janeiro;RJ;Brasil;04538132;;11;27974529;;11;27973750;adriana.souza@itau-unibanco.com.br;2015-01-15;
02.328.280/0001-97;2020-01-01;1;90682;ELEKTRO REDES S.A.;Itaú Corretora de Valores S.A.;61.194.353/0001-64;Endereço da Sede;Rua Ururaí, 111;Prédio B - Térreo;Tatuapé;São Paulo;SP;Brasil;03084010;;11;27974209;;11;27973140;douglas.callegari@itau-unibanco.com.br;1998-01-26;
02.338.534/0001-58;2020-01-01;1;106451;LONGDIS S.A.;Itau Corretora de Valores S/A;61.194.353/0001-64;Endereço para Correspondência;AV. BRIGADEIRO FARIA LIMA, 3400;10° ANDAR;ITAIM BIBI;São Paulo;SP;Brasil;04538132;;11;50297780;;11;50291943;investfone.investimento@itau-unibanco.com.br;2007-09-25;
02.351.144/0001-18;2020-01-01;2;91666;TEGMA GESTAO LOGISTICA S.A.;Itaú Corretora de Valores S.A.;61.194.353/0001-64;Endereço da Sede;Avenida Brigadeiro Faria Lima,3400;10º andar;Itaim Bibi;São Paulo;SP;Brasil;04538132;;11;50291942;;11;50291943;adriana.souza@itau-unibanco.com.br;2007-05-28;
02.351.877/0001-52;2020-01-01;1;94722;LOCAWEB SERVIÇOS DE INTERNET S.A.;Itaú Corretora de Valores S.A.;61.194.353/0001-64;Endereço da Sede;Avenida Brigadeiro Faria Lima, 3.400;10º andar;Itaim Bibi;São Paulo;SP;Brasil;04538132;;;;;;;;2009-03-02;
02.357.251/0001-53;2020-01-01;1;95193;LIFEMED INDUSTRIAL DE EQUIP. E ART. MEDICOS E HOSP. S.A;Itaú Unibanco S.A.;60.701.190/0001-04;Endereço da Sede;Avenida Brigadeiro Faria Lima, 3400;10o. andar;Vila Olimpia;São Paulo;SP;Brasil;04538132;;11;30726113;;;;erve.retes@itau-unibanco.com.br;2017-11-14;
02.363.918/0001-20;2020-01-01;1;95954;ZAIN PARTICIPACOES S.A.;Itau Corretora de Valores S/A;61.194.353/0001-64;Endereço para Correspondência;AV. BRIGADEIRO FARIA LIMA, 3400;10° ANDAR;ITAIM BIBI;São Paulo;SP;Brasil;04538132;;11;50297780;;11;50291943;investfone.investimento@itau-unibanco.com.br;2005-09-02;
02.365.069/0001-44;2020-01-01;3;100211;PADTEC HOLDING S.A.;Itaú Unibanco S.A.;60.701.190/0001-04;Endereço da Sede;Av Brigadeiro Faria Lima;3500, 3o andar;Itaim Bibi;;SP;Brasil;04538132;;011;27402572;;;;escrituracaoacoes@itau-unibanco.com.br;2000-03-10;
02.373.517/0001-51;2020-01-01;1;92660;LIBRA TERMINAL RIO S.A. - EM RECUPERAÇÃO JUDICIAL;Itaú Corretora de Valores S.A.;61.194.353/0001-64;Endereço da Sede;Avenida Brigadeiro Faria Lima, 3.400;10 andar;São Paulo;São Paulo;SP;Brasil;04538132;;011;27974529;;011;27973750;escrituracaoacoes@itau-unibanco.com.br;2014-05-16;
02.387.241/0001-60;2020-01-01;1;94848;RUMO S.A.;Itaú Corretora de Valores S.A.;61.194.353/0001-64;Endereço da Sede;Rua Ururaí, 111;Prédio B;Tatuapé;São Paulo;SP;Brasil;03084010;;11;27974526;;11;27973150;escrituracaoacoes@itau-unibanco.com.br;2004-01-15;
02.397.080/0001-96;2020-01-01;3;91822;ITAPEBI GERACAO DE ENERGIA S.A.;Itaú Corretora de Valores S.A.;61.194.353/0001-64;Endereço da Sede;Rua Virgínia 299, prédio B;Térro;Tatuapé;São Paulo;SP;Brasil;03084010;;0000;30039285;;0011;30039285;escrituracaoacoes@itau-unibanco.com.br;2020-02-19;
02.415.408/0001-50;2020-01-01;1;93939;CONC ROD.OESTE SP VIAOESTE S.A;Itaú Corretora de Valores S.A.;61.194.353/0001-64;Endereço da Sede;Rua Ururaí, 111;Prédio B - Térreo;Tatuapé;São Paulo;SP;Brasil;03084010;;11;27974207;;11;27973140;escrituracaoacoes@itau-unibanco.com.br;2009-02-02;
02.421.421/0001-11;2020-01-01;2;99440;TIM S.A.;Banco Bradesco S.A.;60.746.948/0001-12;Endereço da Sede;Cidade de Deus - Prédio Amarelo;2º andar;Vila Yara;São Paulo;SP;Brasil;06029900;;11;36844522;;11;36845645;4010.acoes@bradesco.com.br;;
02.429.144/0001-93;2020-01-01;1;93365;CPFL ENERGIA S.A.;Banco do Brasil;00.000.000/0001-91;Endereço para Correspondência;Rua Lélio Gama, 105 - 38o andar;Gecin;Centro;Rio de Janeiro;RJ;Brasil;20031080;;21;38083551;;21;38086088;aescriturais@bb.com.br;2011-01-01;
02.451.848/0001-62;2020-01-01;1;94484;CONC SIST ANHANG-BANDEIRANT S.A. AUTOBAN;Itau Unibanco S/A;60.701.190/0001-04;Endereço da Sede;Pça. Alfredo E. S. Aranha, 100;;Parque Jabaquara;São Paulo;SP;Brasil;04344902;;11;50292206;;11;50291515;;2001-09-10;
02.465.783/0001-04;2020-01-01;1;113565;FUTURETEL S.A. - EM LIQUIDAÇÃO;Itaú Corretora de Valores S.A.;61.194.353/0001-64;;Avenida Brigadeiro Faria Lima;3400 10 andar;Itaim Bibi;São Paulo;SP;Brasil;04538132;;011;50297780;;011;50291943;investfone.investimento@itau-unibanco.com.br;2005-09-02;2018-03-27
02.474.103/0001-19;2020-01-01;3;92624;ENGIE BRASIL ENERGIA S.A.;Itaú Corretora de Valores S.A.;61.194.353/0001-64;Endereço da Sede;Rua Ururaí, 111;Prédio B - Térreo;Tatuapé;São Paulo;SP;Brasil;03084010;;011;27402572;;;;gercina.bueno@itau-unibanco.com.br;2004-06-01;
02.502.844/0001-66;2020-01-01;1;95565;RUMO MALHA PAULISTA S.A.;Itaú Corretora de Valores S.A.;61.194.353/0001-64;Endereço da Sede;Rua Ururaí;111, Prédio B;Tatuapé;São Paulo;SP;Brasil;03084010;;11;27974526;;11;27973150;escrituracaoacoes@itau-unibanco.com.br;2004-01-15;
02.558.115/0001-21;2020-01-01;1;94241;TIM PARTICIPACOES S.A.;Banco Bradesco S.A.;60.746.948/0001-12;Endereço para Correspondência;Cidade de Deus - Prédio Amarelo;2º Andar;Vila Yara;São Paulo;SP;Brasil;06029900;;0011;36843749;;0011;36842714;4010.acoes@bradesco.com.br;2010-04-05;
02.558.157/0001-62;2020-01-01;2;98889;TELEFÔNICA BRASIL S.A;Banco Bradesco S/A;60.746.948/0001-12;Endereço para Correspondência;Cidade de Deus - Prédio Amarelo;2º andar;Vila Yara;São Paulo;SP;Brasil;06029900;;011;36847651;;011;36843811;4010.acecustodia@bradesco.com.br;2010-03-22;
02.591.787/0001-39;2020-01-01;1;106450;CAPITALPART PARTICIPACOES S.A.;Itau Corretora de Valores S/A;61.194.353/0001-64;Endereço para Correspondência;AV. BRIGADEIRO FARIA LIMA, 3400;10° ANDAR;ITAIM BIBI;São Paulo;SP;Brasil;04538132;;11;50297780;;11;50291943;investfone.investimento@itau-unibanco.com.br;2005-09-02;
02.604.860/0001-60;2020-01-01;1;97117;INNCORP S.A.;Itau Corretora de Valores S/A;61.194.353/0001-64;Endereço para Correspondência;AV. BRIGADEIRO FARIA LIMA, 3400;10° ANDAR;ITAIM BIBI;São Paulo;SP;Brasil;04538132;;11;50297780;;11;50291943;investfone.investimento@itau-unibanco.com.br;2007-09-18;
02.635.522/0001-95;2020-01-01;1;98981;JALLES MACHADO S.A.;Itaú Corretora de Valores S.A.;61.194.353/0001-64;Endereço da Sede;Rua Ururaí, n.º 111;Prédio B, Térreo;Tatuapé;São Paulo;SP;Brasil;03084010;;11;30726156;;;;escrituracaorendavariavel@itau-unibanco.com.br;;
02.762.113/0001-50;2020-01-01;2;92801;BRAZILIAN FINANCE E REAL ESTATE S.A.;Itaú Corretora de Valores S.A.;61.194.353/0001-64;Endereço da Sede;Avenida Brigadeiro Faria Lima, 3400;10º andar;Itaim Bibi;São Paulo;SP;Brasil;04538133;;11;30039285;;11;30039285;escrituracaoacoes@itau-unibanco.com.br;2007-04-04;
02.762.115/0001-49;2020-01-01;4;97557;MMX MINERACAO E METALICOS S.A. - EM RECUPERAÇÃO JUDICIAL;Itaú Corretora de Valores S.A.;60.701.190/0001-04;Endereço da Sede;Praça Alfredo Egydio de Souza Aranha, nº 100;Torre Itaúsa;Jabaquara;São Paulo;SP;Brasil;04344902;;011;30039285;;011;50291920;escrituracao@itau-unibanco.com.br;2005-12-07;
02.762.121/0001-04;2020-01-01;1;96408;SANTOS BRASIL PARTICIPACOES S.A.;Itaú Corretora de Valores S.A.;61.194.353/0001-64;Endereço da Sede;Av. Brigadeiro Faria Lima, nº 3400;10o andar;Itaim Bibi;São Paulo;SP;Brasil;04538132;;11;2794257;;;;gercina.bueno@itau- unibanco.com.br;2007-10-24;
02.762.124/0001-30;2020-01-01;2;93029;BETAPART PARTICIPACOES S.A.;Itaú Corretora de Valores SA;61.194.353/0001-64;Endereço da Sede;Av. Brigadeiro Faria Lima, 3.500;3º andar;Itaim Bibi;São Paulo;SP;Brasil;04538132;;011;27974529;;011;27973750;adriana.souza@itau-unibanco.com.br;2015-01-15;
02.773.542/0001-22;2020-01-01;5;103059;RB SEC COMPANHIA DE SECURITIZAÇÃO;Itaú Corretora de Valores S.A;61.194.353/0001-64;Endereço para Correspondência;Avenida Brigadeiro Faria Lima, 3400;.;Itaim Bibi;São Paulo;SP;Brasil;04538132;;11;50291919;;11;50291919;rosana.souza@itau-unibanco.com.br;2004-01-01;
02.783.423/0001-50;2020-01-01;1;95196;ALTERE SECURITIZADORA S.A.;Banco Paulista S/A;61.820.817/0001-09;Endereço da Sede;Av. Brigadeiro Faria Lima, 1.355;2º andar;Jardim Paulistano;São Paulo;SP;Brasil;01452090;;11;32992397;;;;guilherme.maciel@bancopaulista.com.br;2018-01-01;
02.796.775/0001-40;2020-01-01;2;95806;GAMA PARTICIPACOES S.A.;Itaú Corretora de Valores SA;61.194.353/0001-64;Endereço da Sede;AVENIDA BRIGADEIRO FARIA LIMA;3500/3º ANDAR;ITAIMBIBI;Rio de Janeiro;RJ;Brasil;04538132;;11;27974529;;11;27973750;adriana.souza@itau-unibanco.com.br;2015-01-15;
02.800.026/0001-40;2020-01-01;4;103107;KROTON EDUCACIONAL S.A.;Banco Bradesco S/A;60.746.948/0001-12;Endereço da Sede;Cidade de Deus;s/n;Vila Yara;Osasco;SP;Brasil;06029900;;11;36849441;;11;36842811;dac.escrituracao@bradesco.com.br;2014-09-01;
02.846.056/0001-97;2020-01-01;1;90345;CCR S.A.;Itaú Corretora de Valores;61.194.353/0001-64;Endereço da Sede;Rua Ururaí, 111;Prédio B - Térreo;Tatuapé;São Paulo;SP;Brasil;03084010;;011;27404515;;011;27403140;escrituracaoacoes@itau-unibanco.com.br;2002-02-01;
02.860.694/0001-62;2020-01-01;4;102674;T4F ENTRETENIMENTO S.A.;Banco Bradesco S.A.;60.746.948/0001-12;Endereço da Sede;Cidade de Deus, sem nº;-;Vila Yara;Osasco;SP;Brasil;06029900;;11;36849441;;11;36843811;4010.acoes@bradesco.com.br;2011-01-20;
