CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Contato;Data_Inicio_Contato;Data_Fim_Contato;Tipo_Endereco;Logradouro;Complemento;Bairro;Cidade;Sigla_UF;Pais;CEP;DDI_Telefone;DDD_Telefone;Telefone;DDI_Fax;DDD_Fax;Fax;Email
00.776.574/0001-56;2020-01-01;1;93607;B2W - COMPANHIA DIGITAL;Raoni Lapagesse;2016-06-01;;Endereço da Sede;Rua Sacadura Cabral, 102;Parte;Saúde;Rio de Janeiro;RJ;Brasil;20081902;;21;22066000;;;;ri@b2wdigital.com
00.861.626/0001-92;2020-01-01;1;94155;CONC RODOVIA PRES. DUTRA S.A.;Carla Henriques Silva Fornasaro;2019-09-02;;Endereço da Sede;Rodovia Presidente Dutra (BR-116 / SP / RJ);km 184,3;Morro Grande;Santa Isabel;SP;Brasil;07500000;;011;27952440;;011;27952400;debentures.novadutra@grupoccr.com.br
00.864.214/0001-06;2020-01-01;4;100112;ENERGISA S.A.;Deborah Coutinho Gil Nunes;2019-09-03;;Endereço da Sede;Avenida Pasteur 110, 6º andar;;Botafogo;Rio de Janeiro;RJ;Brasil;22290040;;21;21229521;;;;deborah.nunes@energisa.com.br
00.897.864/0001-58;2020-01-01;3;99795;SANTA CATARINA PART INVEST SA;Luciano da Silva Spindola;2019-01-28;;Endereço da Sede;Rodovia SC 401, km 5 , nº 4600.;Bloco 3, Atico;Saco Grande II;Florianópolis;SC;Brasil;88032000;;048;36652794;;048;36652794;invesc@sefaz.sc.gov.br
00.924.429/0001-75;2020-01-01;1;95642;FERROVIA CENTRO-ATLANTICA S.A.;Alysson Freitas;2019-05-01;2019-10-31;Endereço da Sede;Rua Tapuias;49, 7° andar;Floresta;Belo Horizonte;MG;Brasil;30150030;;031;32794217;;031;32795709;relacionamentocomacionistas@vli-logistica.com.br
00.924.429/0001-75;2020-01-01;1;95642;FERROVIA CENTRO-ATLANTICA S.A.;Thiago Bonadies;2019-11-01;;Endereço da Sede;Rua Helena;235, 5° andar;Vila Olímpia;São Paulo;SP;Brasil;04552050;;011;51122564;;031;32795709;L-RI-FCA@VLI-LOGISTICA.COM.BR
00.974.211/0001-25;2020-01-01;1;93331;Linha Amarela S.A. - LAMSA;Nilton Pimentel;2018-05-01;;Endereço da Sede;Avenida Almirante Barroso, nº 52;Sl 801, 3001 e 3002;Centro;Rio de Janeiro;RJ;Brasil;20031000;;021;22111300;;021;22111300;DRI@lamsa.com.br
01.027.058/0001-91;2020-01-01;1;90608;CIELO S.A.;Jean Philippe Leroy;2019-08-05;;Endereço da Sede;Rua Leopoldo Couto de Magalhães, 758;5 andar;Itaim Bibi;São Paulo;SP;Brasil;04542000;;11;25968453;;11;21847499;ri@cielo.com.br
01.027.058/0001-91;2020-01-01;1;90608;CIELO S.A.;Thiago Henrique Rouver Stanger;2019-07-06;2019-08-04;Endereço da Sede;Rua Leopoldo Couto de Magalhães, 758;5 andar;Itaim Bibi;São Paulo;SP;Brasil;04542000;;11;25968453;;11;28947799;ri@cielo.com.br
01.027.058/0001-91;2020-01-01;1;90608;CIELO S.A.;Victor Schabbel;2016-10-13;2019-07-05;Endereço da Sede;Leopoldo Couto de Magalhães Junior, 758;5º andar;Itaim Bibi;São Paulo;SP;Brasil;04542000;;11;25968453;;11;21847799;ri@cielo.com.br
01.083.200/0001-18;2020-01-01;2;91278;NEOENERGIA S.A.;Vanessa Vollet Azevedo;2010-05-01;;Endereço da Sede;Praia do Flamengo, 78;10º andar;Flamengo;Rio de Janeiro;RJ;Brasil;22210030;;21;32359828;;21;32359876;ri@neoenergia.com
01.104.937/0001-70;2020-01-01;2;94773;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;ANA LUCIA DA SILVA CORREIA;2020-01-17;;Endereço da Sede;AV. PRESIDENTE VARGAS 409;17 ANDAR;CENTRO;Rio de Janeiro;RJ;Brasil;20071003;;21;25145557;;21;25145562;ana.l.correia@eletrobraspar.com.br
01.107.327/0001-20;2020-01-01;1;90897;BBM Logística S.A.;Marco Antônio de Modesti;2018-10-19;;Endereço da Sede;Alameda Bom Pastor, n° 2.216;;Barro Preto;São José dos Pinhais;PR;Brasil;83015810;;41;21690055;;;;ri@bbmlogistica.com.br
01.258.944/0001-26;2020-01-01;1;95564;FERROVIA SUL-ATLANTICO S.A.;Gustavo Marder da Rosa;2017-10-05;;Endereço da Sede;Rua Emílio Bertolini;100;Cajuru;Curitiba;PR;Brasil;82920030;;41;21417555;;41;33656566;ir@all-logistica.com
01.319.044/0001-41;2020-01-01;2;95349;WTC AMAZONAS SUITE HOTEL S.A.;ADRIANA BOMENY FREIRE;2010-04-30;;Endereço da Sede;RUA ESTADOS UNIDOS, Nº 1093;SALA 10;JARDIM AMERICA;São Paulo;SP;Brasil;01427001;;11;33455035;;11;55065446;intercorpconsultoria@uol.com.br
01.417.222/0001-77;2020-01-01;2;92905;MRS LOGISTICA S.A.;Douglas da Silva Coutinho;2018-08-14;;Endereço da Sede;Praia de Botafogo, 228;Sala 1201 E;Botafogo;Rio de Janeiro;RJ;Brasil;22250906;;021;25594601;;021;25594613;financeiro.ri@mrs.com.br
01.543.032/0001-04;2020-01-01;1;97106;CELG DISTRIBUICAO S.A. - CELG D;Daniel Spencer Pioner;2020-01-01;;Endereço da Sede;Av. Dr. Marcos Penteado de Ulhôa Rodrigues, nº 939, torre 2;Loja 1 e 2, 1 ao 7;Bairro Sitio Tamboré;Barueri;SP;Brasil;06460040;;11;21957048;;11;21952308;brasil.investorrelations@enel.com
01.545.826/0001-07;2020-01-01;1;91350;GAFISA S.A.;André Luis Ackermann;2019-09-23;2020-02-28;Endereço da Sede;Av. Juscelino Kubitschek 1830;3° andar, Torre 2;Itaim Bibi;São Paulo;SP;Brasil;04543900;;011;30259474;;011;30259348;ri@gafisa.com.br
01.545.826/0001-07;2020-01-01;1;91350;GAFISA S.A.;Ian Monteiro de Andrade;2020-03-02;;Endereço da Sede;Av. Juscelino Kubitschek, 1830;3° andar, Torre 2;Itaim Bibi;São Paulo;SP;Brasil;04543900;;011;30259242;;011;30259348;ri@gafisa.com.br
01.547.749/0001-16;2020-01-01;2;96463;521 PARTICIPACOES S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL;Marcelle Vasconcellos;2018-05-03;;Endereço da Sede;Rua da Assembleia, nº 10, 37º andar;3701;Centro;Rio de Janeiro;RJ;Brasil;20011901;;21;21285501;;00;00000;governance@eximiacapital.com
01.548.981/0001-79;2020-01-01;3;97953;INVESTIMENTOS BEMGE S.A.;Itaú Corretora de Valores S.A.;2010-08-31;;Endereço da Sede;DSMC - SSCO - Gerência de Escrituração - Rua Ururaí, 111;Prédio B - Terreo;Tatuapé;São Paulo;SP;Brasil;03084010;;11;30039285;;;;
01.599.101/0001-93;2020-01-01;3;97522;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Diretor Financeiro e de Relações com Investidores;2020-08-07;;Endereço da Sede;Avenida Isaltino Victor de Moraes, 437, Térreo;Módulo D, Bloco 100;Vila Bonfim;Embu das Artes;SP;Brasil;06806400;;11;43918800;;;;stucchi@sequoialog.com.br
01.616.929/0001-02;2020-01-01;3;93203;SANEAMENTO DE GOIAS SA;João Pedro Tavares Damasceno;2020-05-11;;Endereço da Sede;Av. Fued José Sebba, nº 1245;Ed. Sede;Jardim Goiás;Goiânia;GO;Brasil;74805100;;062;32433189;;062;32433166;ri@saneago.com.br
01.616.929/0001-02;2020-01-01;3;93203;SANEAMENTO DE GOIAS SA;Leonel Alves Pereira;2014-01-10;2020-05-08;Endereço da Sede;Av. Fued José Sebba, n 1245;Ed. Sede;Jardim Goiás;Goiânia;GO;Brasil;74805100;;062;32433112;;062;32433552;ri@saneago.com.br
01.838.723/0001-27;2020-01-01;1;95241;BRF S.A.;Pedro Bueno;2017-08-15;;Endereço da Sede;Av. das Nações Unidas, N° 8501;1 andar;Pinheiros;São Paulo;SP;Brasil;05425070;;5511;23225377;;5511;23225747;acoesRI@brf-br.com
01.896.779/0001-38;2020-01-01;2;96518;CSU CARDSYSTEM S.A.;Bruna Gamboa;2019-04-01;2020-08-14;Endereço da Sede;Av. Brigadeiro Faria Lima, 1306;Térreo;Pinheiros;São Paulo;SP;Brasil;01451914;;11;21063807;;;;ri@csu.com.br
01.896.779/0001-38;2020-01-01;2;96518;CSU CARDSYSTEM S.A.;José Eduardo Martins Leoni;2020-08-17;;Endereço da Sede;Av. Brigadeiro Faria Lima, 1306;Térreo;Pinheiros;São Paulo;SP;Brasil;01451914;;11;30303807;;;;jose.leoni@csu.com.br
01.917.818/0001-36;2020-01-01;3;99302;LIGHT ENERGIA S.A.;Rodrigo Domingues Vilela;2019-08-12;;Endereço da Sede;Avenida Marechal Floriano;168;Centro;Rio de Janeiro;RJ;Brasil;20080002;;21;22112623;;00;00000000;ri@light.com.br
01.938.783/0001-11;2020-01-01;1;91403;CIA PARTICIPACOES ALIANCA DA BAHIA;Ana Cristina Moreira Pinto;2009-01-01;;Endereço da Sede;Rua Pinto Martins, 11;9º andar;Comércio;Salvador;BA;Brasil;40015020;;71;36161013;;71;36161016;aliancaparticipacoes@alba.com.br
01.971.614/0001-83;2020-01-01;1;90652;EMPRESA NAC COM REDITO PART S.A.ENCORPAR;JOÃO BATSITA DA CUNHA BOMFIM;2010-04-30;;Endereço para Correspondência;Av. Paulista 1754;2 sl.;Cerqueira Cesar;São Paulo;SP;Brasil;01310920;;11;21454412;;11;21454581;joao.bomfim@coteminas.com.br
01.989.044/0001-59;2020-01-01;2;95327;WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.;ADRIANA BOMENY FREIRE;2019-05-02;;Endereço da Sede;RUA ESTADOS UNIDOS, Nº 1093;SALA 9;JARDIM AMERICA;São Paulo;SP;Brasil;01427001;;11;33455035;;11;55065446;intercorpconsultoria@uol.com.br
02.016.440/0001-62;2020-01-01;1;90732;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;Carlos Victor Pereira Sicard Cyrino;2019-06-01;;Endereço da Sede;Rua Jorge de Figueiredo Corrêa,1632;Parte;Jd. Prof° Tarcília;Campinas;SP;Brasil;13087397;;019;37568458;;019;37568458;ri@cpfl.com.br
02.084.220/0001-76;2020-01-01;1;96635;NUMERAL 80 PARTICIPAÇÕES S.A.;Juliano Martins Navarro;2017-05-16;;Endereço da Sede;Rua Dr. Eduardo de Souza Aranha, nº 387, 2º andar;cjto. 22;Vila Nova Conceição;São Paulo;SP;Brasil;04543121;;11;32793279;;11;32793242;juliano.navarro@santosbrasil.com.br
02.117.801/0001-67;2020-01-01;2;96473;BONAIRE PARTICIPACOES S.A. - EM LIQUIDAÇÃO;Marcelle Vasconcellos;2015-07-27;;Endereço da Sede;Rua da Assembleia, nº 10, 37º andar;3701;Centro;Rio de Janeiro;RJ;Brasil;20011000;;21;21285543;;21;21285501;eximia@eximiacapital.com
02.149.205/0001-69;2020-01-01;1;90316;PORTO SEGURO S.A.;Celso Damadi;2020-01-02;;Endereço da Sede;Alameda Barão de Piracicaba, 618/634 - Torre B;11º andar;Campos Elíseos;São Paulo;SP;Brasil;01216012;;011;23937195;;011;23937195;gri@portoseguro.com.br
02.162.616/0001-94;2020-01-01;1;91550;UPTICK PARTICIPACOES S.A.;Marcelle Santos de Vasconcellos;2015-09-01;;Endereço da Sede;Rua da Assembleia, nº 10, 37º andar;3701;Centro;Rio de Janeiro;RJ;Brasil;20011901;;21;21285501;;00;000000;governance@eximiacapital.com
02.193.750/0001-52;2020-01-01;6;103561;GPC PARTICIPACOES S.A.;George Abi-Rihan Cordeiro;2020-10-19;;Endereço da Sede;Rua do Passeio, 70;5º andar;Centro;Rio de Janeiro;RJ;Brasil;20021290;;21;39060417;;21;22120703;dri@gpc.com.br
02.221.531/0001-30;2020-01-01;1;92441;RODONORTE - CONC. ROD. INTEGRADAS S.A.;Juvêncio Pires Terra;2018-05-02;2020-04-16;Endereço da Sede;Rua Afonso Pena;87;Vila Estrela;Ponta Grossa;PR;Brasil;84040170;;042;32202910;;042;32202952;ri.rodonorte@grupoccr.com.br
02.221.531/0001-30;2020-01-01;1;92441;RODONORTE - CONC. ROD. INTEGRADAS S.A.;THAIS CAROLINE BORGES LABRE;2020-04-17;;Endereço da Sede;Rua Afonso Pena;87;Vila Estrela;Ponta Grossa;PR;Brasil;84040170;;042;32202910;;042;32202952;ri.rodonorte@grupoccr.com.br
02.258.422/0001-97;2020-01-01;3;97715;INEPAR EQUIPAMENTOS E MONTAGENS S/A;IRAJÁ GALLIANO ANDRADE;2014-12-10;;Endereço da Sede;Alameda dos Jurupis nº 455;10º andar;Moema;São Paulo;SP;Brasil;04088001;;11;50544000;;11;50544009;ri@inepar.com.br
02.291.077/0001-93;2020-01-01;1;94132;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;NANCI TURIBIO GUIMARÃES;2006-06-20;;Endereço da Sede;Rua São José, 90;grupo 2001;Centro;Rio de Janeiro;RJ;Brasil;20010020;;21;24905340;;21;24905340;nanci@bullfinance.com.br
02.302.100/0001-06;2020-01-01;1;90864;EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.;Marilia Barbosa Nogueira;2014-06-03;;Endereço da Sede;Rua Gomes de Carvalho, 1.996;7ª andar;Vila Olímpia;São Paulo;SP;Brasil;04547006;;11;21855030;;11;21855917;marilia.nogueira@edpbr.com.br
02.302.101/0001-42;2020-01-01;6;99838;EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.;Pablo Andrés Fernandes Uhart;2020-07-27;;Endereço da Sede;Avenida Jornalista Roberto Marinho, 85;16º e 17º andares;Cidade Monções;São Paulo;SP;Brasil;04576010;;011;27636502;;011;38881821;dir_financeira@emae.com.br
02.328.280/0001-97;2020-01-01;1;90682;ELEKTRO REDES S.A.;Vanessa Vollet Azevedo;2017-08-24;;Endereço da Sede;Praia do Flamengo, 78;10º andar;Flamengo;Rio de Janeiro;RJ;Brasil;22210030;;21;32359828;;21;32359876;ri@neoenergia.com
02.351.144/0001-18;2020-01-01;2;91666;TEGMA GESTAO LOGISTICA S.A.;Ian Nunes Costa e Costa;2012-10-31;;Endereço da Sede;Av Nicola Demarchi, 2000;;Demarchi;São Bernardo do Campo;SP;Brasil;09820655;;11;43979423;;11;43979423;ian.nunes@tegma.com.br
02.351.877/0001-52;2020-01-01;1;94722;LOCAWEB SERVIÇOS DE INTERNET S.A.;Rafael Chamas Alves;2019-12-04;;Endereço da Sede;Rua Itapaiúna, 2.434;;Vila Andrade;São Paulo;SP;Brasil;05707001;;11;35440444;;11;35440444;ri@locaweb.com.br
02.365.069/0001-44;2020-01-01;3;100211;PADTEC HOLDING S.A.;Daniela Tinoco;2020-07-10;;Endereço da Sede;Rua Dr. Ricardo Benetton Martins nº 1.000;Parque II;Polo Alta Tecnologia;Campinas;SP;Brasil;13086510;;021;32069200;;;;ri@padtec.com.br
02.387.241/0001-60;2020-01-01;1;94848;RUMO S.A.;Gustavo Marder da Rosa;2017-10-05;;Endereço da Sede;Emilio Bertolini, 100;n/a;Cajuru;Curitiba;PR;Brasil;82920030;;41;21417555;;41;33656566;ir@rumolog.com
02.397.080/0001-96;2020-01-01;3;91822;ITAPEBI GERACAO DE ENERGIA S.A.;Vanessa Vollet Azevedo;2015-06-08;;Endereço da Sede;Praia do Flamengo, 78;10º andar;Flamengo;Rio de Janeiro;RJ;Brasil;22210030;;21;32359828;;21;32359876;ri@neoenergia.com
02.415.408/0001-50;2020-01-01;1;93939;CONC ROD.OESTE SP VIAOESTE S.A;JOSÉ SALIM KALLAB FRAIHA;2020-06-01;;Endereço da Sede;Rod. Pres. Castello Branco, KM 24 - lado par sentido capital;Conjunto Norte;Jardim Mutinga;Barueri;SP;Brasil;06463400;;11;26646000;;11;26646121;cvm.viaoeste@grupoccr.com.br
02.415.408/0001-50;2020-01-01;1;93939;CONC ROD.OESTE SP VIAOESTE S.A;Marcelo Bandeira Ferreira Boaventura;2018-08-01;2020-05-31;Endereço da Sede;Rod. Pres. Castello Branco, KM 24 - lado par sentido capital;Conjunto Norte;Jardim Mutinga;Barueri;SP;Brasil;06463400;;11;26646000;;11;26646121;cvm.viaoeste@grupoccr.com.br
02.421.421/0001-11;2020-01-01;2;99440;TIM S.A.;Adrian Calaza;2019-10-01;;Endereço da Sede;Avenida João Cabral de Melo Neto, nº 850, Torre Sul;12º andar;Barra da Tijuca;Rio de Janeiro;RJ;Brasil;22775057;;021;41094167;;021;41094542;ri@timbrasil.com.br
02.429.144/0001-93;2020-01-01;1;93365;CPFL ENERGIA S.A.;Carlos Victor Pereira Sicard Cyrino;2019-06-01;;Endereço da Sede;Rua Jorge de Figueiredo Corrêa;1632, parte;Jd Prof. Tarcília;Campinas;SP;Brasil;13087397;;019;37568458;;;;ri@cpfl.com.br
02.451.848/0001-62;2020-01-01;1;94484;CONC SIST ANHANG-BANDEIRANT S.A. AUTOBAN;Rogério Cezar Bahú;2019-07-25;;Endereço da Sede;Avenida Professora Maria do Carmo Guimarães Pellegrini, 200;Bloco E;Retiro;Jundiaí;SP;Brasil;13209500;;011;45894005;;011;45894006;invest@grupoccr.com.br
02.465.783/0001-04;2020-01-01;1;113565;FUTURETEL S.A. - EM LIQUIDAÇÃO;Fernando José do Amaral Friedheim;2018-03-27;;;Rua Embaixador Morgan;12;Humaitá;Rio de Janeiro;RJ;Brasil;22261140;;021;987444411;;021;25396005;f.friedheim@ig.com.br
02.474.103/0001-19;2020-01-01;3;92624;ENGIE BRASIL ENERGIA S.A.;RAFAEL JOSÉ CARON BÓSIO;2015-11-01;;Endereço da Sede;Rua Paschoal Apóstolo Pítsica, 5064;;Agronômica;Florianópolis;SC;Brasil;88025255;;48;32217225;;48;32217253;ri.brenergia@engie.com
02.502.844/0001-66;2020-01-01;1;95565;RUMO MALHA PAULISTA S.A.;Gustavo Marder da Rosa;2017-10-05;;Endereço da Sede;Rua Emílio Bertolini;100;Cajuru;Curitiba;PR;Brasil;82920030;;41;21417555;;41;33656566;ir@rumolog.com
02.558.115/0001-21;2020-01-01;1;94241;TIM PARTICIPACOES S.A.;Adrian Calaza;2017-10-02;;Endereço da Sede;Avenida João Cabral de Melo Neto, nº 850;Torre Sul 12º andar;Barra da Tijuca;Rio de Janeiro;RJ;Brasil;22775057;;0021;41094167;;0021;41094542;ri@timbrasil.com.br
02.558.115/0001-21;2020-01-01;1;94241;TIM PARTICIPACOES S.A.;Adrian Calaza;2017-10-02;;Endereço da Sede;Avenida João Cabral de Melo Neto, nº 850;Torre Sul 12º andar;Barra da Tijuca;Rio de Janeiro;RJ;Brasil;22775057;;0021;41093360;;0021;41094542;vdferreira@timbrasil.com.br
02.558.157/0001-62;2020-01-01;2;98889;TELEFÔNICA BRASIL S.A;Ronaldo Bechelli;2015-09-05;;Endereço da Sede;Av. Eng. Luis Carlos Berrini, 1376;17º andar;Cidade Monções;São Paulo;SP;Brasil;04571936;;11;34301442;;11;55051355;ronaldo.bechelli@telefonica.com
02.591.787/0001-39;2020-01-01;1;106450;CAPITALPART PARTICIPACOES S.A.;Marcos Navajas;2017-12-27;;Endereço para Correspondência;Rua Lauro Muller, 116;Sala 504 (parte);Botafogo;Rio de Janeiro;RJ;Brasil;22290160;;21;32318200;;21;22626675;kevin@mattosfilho.com.br
02.591.787/0001-39;2020-01-01;1;106450;CAPITALPART PARTICIPACOES S.A.;Marcos Navajas;2017-12-27;;Endereço da Sede;Rua Joaquim Floriano;466;Itaim Bibi;São Paulo;SP;Brasil;04534002;;11;35088999;;11;35088999;marcosnavajas@hotmail.com
02.604.860/0001-60;2020-01-01;1;97117;INNCORP S.A.;Dimitri Bittencourt;2018-03-22;;Endereço da Sede;Avenida Faria Lima, nº 2009;apt 42;Jardim Paulistano;São Paulo;SP;Brasil;01452001;;11;992321441;;;;dbittencourt@brcgroup.com.br
02.635.522/0001-95;2020-01-01;1;98981;JALLES MACHADO S.A.;Rodrigo Penna de Siqueira;2020-11-27;;Endereço da Sede;Rodovia GO-080, KM 185;Fazenda São Pedro, s;Zona Rural;Goianésia;GO;Brasil;76388899;;65;984177004;;;;ri@jallesmachado.com
02.682.287/0001-02;2020-01-01;2;93838;PAN ARRENDAMENTO MERCANTIL S.A.;Carlos Eduardo Pereira Guimarães;2016-05-02;2020-05-26;Endereço da Sede;Av. Paulista, 1.374;16º andar;Bela Vista;São Paulo;SP;Brasil;01310100;;011;32645343;;;;ri@grupopan.com
02.682.287/0001-02;2020-01-01;2;93838;PAN ARRENDAMENTO MERCANTIL S.A.;Mauro Dutra Mediano Dias;2020-05-27;;Endereço da Sede;Avenida Paulista, 1374;16º andar;Bela Vista;São Paulo;SP;Brasil;01310100;;11;32645343;;;;ri@grupopan.com
02.736.470/0001-43;2020-01-01;1;93692;PATRIA CIA SECURITIZADORA DE CRED IMOB;Alexandre Borensztein;2006-04-28;;Endereço da Sede;Av. Cidade Jardim 803;8º andar;Itaim Bibi;São Paulo;SP;Brasil;01453000;;011;30399000;;011;30399001;alexandre.borensztein@patriainvestimentos.com.br
02.762.113/0001-50;2020-01-01;2;92801;BRAZILIAN FINANCE E REAL ESTATE S.A.;Mauro Dutra Mediano Dias;2020-03-03;;Endereço da Sede;Av. Paulista, 1.374;15º andar;Bela Vista;São Paulo;SP;Brasil;01310100;;011;32645343;;011;32645343;ri_bfre@grupopan.com
02.762.115/0001-49;2020-01-01;4;97557;MMX MINERACAO E METALICOS S.A. - EM RECUPERAÇÃO JUDICIAL;Joaquim Martino Ferreira;2020-09-28;;Endereço da Sede;Rua Lauro Müller, 116;Sl. 2403;Botafogo;Rio de Janeiro;RJ;Brasil;22290906;;21;21635500;;21;21635500;ri@mmx.com.br
02.762.121/0001-04;2020-01-01;1;96408;SANTOS BRASIL PARTICIPACOES S.A.;Juliano Martins Navarro;2017-05-16;;Endereço da Sede;Rua Dr. Eduardo de Souza Aranha, nº 387;cj 22;Vila Olimpia;São Paulo;SP;Brasil;04543121;;11;32793279;;;;juliano.navarro@santosbrasil.com.br
02.800.026/0001-40;2020-01-01;4;103107;KROTON EDUCACIONAL S.A.;Bruno Giardino Roschel de Araujo;2020-03-02;;Endereço da Sede;Av. Paulista, 901;2º Andar;Bela Vista;São Paulo;SP;Brasil;01310100;;11;31337309;;11;31337309;dri@kroton.com.br
02.846.056/0001-97;2020-01-01;1;90345;CCR S.A.;Marcus Vinícius Vieira Macedo;2009-08-03;;Endereço para Correspondência;Av Chedid Jafet 222;Bloco B - 5 Andar;Vila Olímpia;São Paulo;SP;Brasil;04551065;;11;30485941;;11;30485903;invest@grupoccr.com.br
02.860.694/0001-62;2020-01-01;4;102674;T4F ENTRETENIMENTO S.A.;André Pinheiro Veloso;2019-08-05;;Endereço da Sede;Avenida das Nações Unidas, 17.955;-;Santo Amaro;São Paulo;SP;Brasil;04795100;;11;35761200;;11;35761280;ri@t4f.com.br
02.916.265/0001-60;2020-01-01;1;93640;JBS S.A.;André Menezes;2016-11-28;2019-05-19;Endereço da Sede;Av. Marginal Direita do Tietê, 500;Bloco 2 - 2º andar;Vila Jaguara;São Paulo;SP;Brasil;05118100;;011;31444447;;011;31444279;ri@jbs.com.br
