CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Contato;Data_Inicio_Contato;Data_Fim_Contato;Tipo_Endereco;Logradouro;Complemento;Bairro;Cidade;Sigla_UF;Pais;CEP;DDI_Telefone;DDD_Telefone;Telefone;DDI_Fax;DDD_Fax;Fax;Email
00.272.185/0001-93;2021-01-01;1;105318;CIMS S.A.;José Guilherme Cruz Souza;2013-08-21;;Endereço da Sede;Avenida Bartolomeu Mitre ,nº 336;6º andar;Leblon;Rio de Janeiro;RJ;Brasil;22431002;;021;21596000;;021;21596200;jgsouza@vincipartners.com
00.336.701/0001-04;2021-01-01;2;112752;TELEC BRASILEIRAS S.A. TELEBRAS;Leandro Neves de Oliveira Bando;2019-12-16;;;SIG Quadra 4 lotes 075, 083, 125 e 175, Bloco A;Salas 211 a 224;SIG;Brasília;DF;Brasil;70610440;;061;20271208;;061;20271881;leandro.neves@telebras.com.br
00.359.742/0001-08;2021-01-01;3;110260;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Danilo Rodrigo Cisotto;2021-11-12;;;Rua Messias Pereira de Paula, nº 333;Parte 3;Elton Ville;Sorocaba;SP;Brasil;18046640;;15;30316100;;15;30316100;ri@atompar.com.br
00.416.968/0001-01;2021-01-01;1;105603;BANCO INTER S.A.;Helena Lopes Caldeira;2019-09-19;;Endereço da Sede;Avenida Barbacena 1219;20º andar;Santo Agostinho;Belo Horizonte;MG;Brasil;31190131;;31;21387974;;31;21017084;ri@bancointer.com.br
00.622.416/0001-41;2021-01-01;2;113325;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Fernando Cesar Cani;2017-07-03;;;Avenida Osmar Cunha, 416;10º andar;Centro;Florianópolis;SC;Brasil;88015100;;48;38777109;;48;38777101;ri@statkraft.com
00.644.907/0001-93;2021-01-01;4;112332;INVESTCO S.A.;Marilia Barbosa Nogueira;2016-12-14;;;Rua Werner Von Siemens, 111;Prédio 22, bloco A.;Lapa de Baixo;São Paulo;SP;Brasil;05069900;;11;21855907;;11;21855920;ri@edp.com
00.743.065/0001-27;2021-01-01;2;104819;LITEL PARTICIPACOES S.A.;Marcelle Vasconcellos;2015-07-17;;Endereço da Sede;Rua da Assembleia, nº 10, 37º andar;3701;Centro;Rio de Janeiro;RJ;Brasil;20011901;;21;21285543;;21;21285501;governance@eximiacapital.com
00.776.574/0001-56;2021-01-01;3;113211;AMERICANAS S.A.;Raoni Lapagesse;2016-06-01;;;Rua Sacadura Cabral, 102;Parte;Saúde;Rio de Janeiro;RJ;Brasil;20081902;;21;22066000;;;;ri@b2wdigital.com
00.864.214/0001-06;2021-01-01;5;111654;ENERGISA S.A.;Deborah Coutinho Gil Nunes;2019-09-03;;;Praia de Botafogo, n.º 228/13º andar;Ed. Argentina;Botafogo;Rio de Janeiro;RJ;Brasil;22250906;;21;21229521;;;;deborah.nunes@energisa.com.br
00.897.864/0001-58;2021-01-01;2;104407;SANTA CATARINA PART INVEST SA;Luciano da Silva Spindola;2019-01-28;;Endereço da Sede;Rodovia SC 401, km 5 , nº 4600.;Bloco 3, Atico;Saco Grande II;Florianópolis;SC;Brasil;88032000;;048;36652794;;048;36652794;invesc@sefaz.sc.gov.br
00.924.429/0001-75;2021-01-01;1;100244;FERROVIA CENTRO-ATLANTICA S.A.;Ariadna Goncalves;2021-01-01;;Endereço da Sede;Rua Helena;235, 5° andar;Vila Olímpia;São Paulo;SP;Brasil;04552050;;031;32796358;;031;32795709;L-RI-FCA@VLI-LOGISTICA.COM.BR
00.924.429/0001-75;2021-01-01;1;100244;FERROVIA CENTRO-ATLANTICA S.A.;Thiago Bonadies;2019-11-01;2020-11-18;Endereço da Sede;Rua Helena;235, 5° andar;Vila Olímpia;São Paulo;SP;Brasil;04552050;;011;51122564;;031;32795709;L-RI-FCA@VLI-LOGISTICA.COM.BR
00.974.211/0001-25;2021-01-01;5;104707;Linha Amarela S.A. - LAMSA;Hugo Miguel Varela Repolho;2021-05-13;;Endereço da Sede;Avenida Almirante Barroso, 52;Sl 3001 e 3002;Centro;Cruzeiro do Sul;;Brasil;20031000;;021;22111300;;021;22111300;DRI@lamsa.com.br
00.974.211/0001-25;2021-01-01;5;104707;Linha Amarela S.A. - LAMSA;Marcelo Santos;2021-01-25;2021-05-12;Endereço da Sede;Avenida Almirante Barroso, 52;Sl 3001 e 3002;Centro;Rio de Janeiro;RJ;Brasil;20031000;;021;22111300;;021;22111300;DRI@lamsa.com.br
01.027.058/0001-91;2021-01-01;1;99670;CIELO S.A.;Daniel Henrique de Sousa Diniz;2020-11-04;;Endereço da Sede;Rua Leopoldo Couto de Magalhães, 758;5 andar;Itaim Bibi;São Paulo;SP;Brasil;04542000;;11;25968453;;11;21847499;ri@cielo.com.br
01.027.058/0001-91;2021-01-01;1;99670;CIELO S.A.;Jean Philippe Leroy;2019-08-05;2020-11-03;Endereço da Sede;Rua Leopoldo Couto de Magalhães, 758;5 andar;Itaim Bibi;São Paulo;SP;Brasil;04542000;;11;25968453;;11;21847499;ri@cielo.com.br
01.083.200/0001-18;2021-01-01;3;103314;NEOENERGIA S.A.;Renato Rocha;2021-01-19;;Endereço da Sede;Praia do Flamengo, 78;10º andar;Flamengo;Rio de Janeiro;RJ;Brasil;22210030;;21;32359828;;21;32359876;ri@neoenergia.com
01.104.937/0001-70;2021-01-01;1;104805;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Ana Lucia da S. Correia;2020-01-17;;Endereço da Sede;Av Presidente Vargas, 490;17 Andar;Centro;Rio de Janeiro;RJ;Brasil;20071003;;21;25145557;;21;25145562;diretoria.investidores@eletrobraspar.com.br
01.107.327/0001-20;2021-01-01;1;103057;BBM Logística S.A.;Marco Antônio de Modesti;2018-10-19;;Endereço da Sede;Alameda Bom Pastor, n° 2.216;;Barro Preto;São José dos Pinhais;PR;Brasil;83015810;;41;21690055;;;;ri@bbmlogistica.com.br
01.258.944/0001-26;2021-01-01;2;106622;FERROVIA SUL-ATLANTICO S.A.;Gustavo Marder da Rosa;2017-10-05;;Endereço da Sede;Rua Emílio Bertolini;100;Cajuru;Curitiba;PR;Brasil;82920030;;41;21417555;;41;33656566;ir@all-logistica.com
01.319.044/0001-41;2021-01-01;2;103882;WTC AMAZONAS SUITE HOTEL S.A.;ADRIANA BOMENY FREIRE;2010-04-30;2021-05-02;Endereço da Sede;RUA ESTADOS UNIDOS, Nº 1093;SALA 10;JARDIM AMERICA;São Paulo;SP;Brasil;01427001;;11;33455035;;11;55065446;intercorpconsultoria@uol.com.br
01.319.044/0001-41;2021-01-01;2;103882;WTC AMAZONAS SUITE HOTEL S.A.;BRUNO DE MELLO BOMENY;2021-05-03;;Endereço da Sede;RUA ESTADOS UNIDOS, Nº 1093;SALA 10;JARDIM AMERICA;São Paulo;SP;Brasil;01427001;;11;30824008;;11;30824008;intercorpconsultoria@uol.com.br
01.417.222/0001-77;2021-01-01;3;109072;MRS LOGISTICA S.A.;Douglas da Silva Coutinho;2018-08-14;;Endereço da Sede;Praia de Botafogo, 228;Sala 1201 E;Botafogo;Rio de Janeiro;RJ;Brasil;22250906;;021;25594601;;021;25594613;financeiro.ri@mrs.com.br
01.468.594/0001-22;2021-01-01;2;102718;LG Informática S.A.;Antônio Lindolfo de Ávila Júnior;2021-02-01;;Endereço da Sede;Primeira Avenida;Quadra 1-B, Lote 31;Cidade Vera Cruz,;Aparecida de Goiânia;GO;Brasil;74934600;;62;39289012;;;;ri@lg.com.br
01.543.032/0001-04;2021-01-01;2;104974;CELG DISTRIBUICAO S.A. - CELG D;Fabio Romanin;2021-05-10;;Endereço da Sede;Av. Dr. Marcos Penteado de Ulhôa Rodrigues;939, Torre 2, Loja 1;Sitio Tamboré;Barueri;SP;Brasil;06460040;;11;21957177;;11;21957177;brasil.investorrelations@enel.com
01.543.032/0001-04;2021-01-01;2;104974;CELG DISTRIBUICAO S.A. - CELG D;Isabel Regina Barroso De Alcantara;2021-02-01;2021-05-07;Endereço da Sede;Av. Dr. Marcos Penteado de Ulhôa Rodrigues, nº 939, torre 2;Loja 1 e 2, 1 ao 7;Bairro Sitio Tamboré;Barueri;SP;Brasil;06460040;;11;21957048;;11;21952308;brasil.investorrelations@enel.com
01.545.826/0001-07;2021-01-01;1;105591;GAFISA S.A.;Ian Monteiro de Andrade;2020-03-02;;Endereço da Sede;Av. Juscelino Kubitschek, 1830;3° andar, Torre 2;Itaim Bibi;São Paulo;SP;Brasil;04543900;;011;30259242;;011;30259348;ri@gafisa.com.br
01.547.749/0001-16;2021-01-01;1;104822;521 PARTICIPACOES S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL;Marcelle Vasconcellos;2018-05-03;;Endereço da Sede;Rua da Assembleia, nº 10, 37º andar;3701;Centro;Rio de Janeiro;RJ;Brasil;20011901;;21;21285501;;00;00000;governance@eximiacapital.com
01.548.981/0001-79;2021-01-01;2;100986;INVESTIMENTOS BEMGE S.A.;Itaú Corretora de Valores S.A.;2010-08-31;;Endereço da Sede;DSMC - SSCO - Gerência de Escrituração - Rua Ururaí, 111;Prédio B - Terreo;Tatuapé;São Paulo;SP;Brasil;03084010;;11;30039285;;;;atendimentoescrituracao@itau-unibanco.com.br
01.599.101/0001-93;2021-01-01;5;112631;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Bruna Gambôa;2021-06-07;;;Avenida Isaltino Victor de Moraes, 437, Térreo;Módulo D, Bloco 100;Vila Bonfim;Embu das Artes;SP;Brasil;06806400;;11;43918800;;11;43918800;stucchi@sequoialog.com.br
01.599.101/0001-93;2021-01-01;5;112631;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Diretor Financeiro e de Relações com Investidores;2020-08-07;2021-06-06;;Avenida Isaltino Victor de Moraes, 437, Térreo;Módulo D, Bloco 100;Vila Bonfim;Embu das Artes;SP;Brasil;06806400;;11;43918800;;11;43918800;stucchi@sequoialog.com.br
01.616.929/0001-02;2021-01-01;3;109503;SANEAMENTO DE GOIAS SA;João Pedro Tavares Damasceno;2020-05-11;;;Av. Fued José Sebba, nº 1245;Ed. Sede;Jardim Goiás;Goiânia;GO;Brasil;74805100;;062;32433189;;062;32433166;ri@saneago.com.br
01.838.723/0001-27;2021-01-01;1;106185;BRF S.A.;Pedro Bueno;2017-08-15;;Endereço da Sede;Av. das Nações Unidas, N° 8501;1 andar;Pinheiros;São Paulo;SP;Brasil;05425070;;5511;23225377;;5511;23225747;acoesRI@brf.com
01.896.779/0001-38;2021-01-01;1;104897;CSU CARDSYSTEM S.A.;José Eduardo Martins Leoni;2020-08-17;;Endereço da Sede;Av. Brigadeiro Faria Lima, 1306;Térreo;Pinheiros;São Paulo;SP;Brasil;01451914;;11;30303807;;;;jose.leoni@csu.com.br
01.917.818/0001-36;2021-01-01;5;113186;LIGHT ENERGIA S.A.;Rodrigo Domingues Vilela;2019-08-12;;;Avenida Marechal Floriano;168;Centro;Rio de Janeiro;RJ;Brasil;20080002;;21;22112623;;00;00000000;ri@light.com.br
01.938.783/0001-11;2021-01-01;8;114164;CIA PARTICIPACOES ALIANCA DA BAHIA;Ana Cristina Moreira Pinto;2009-01-01;;;Av. Professor Magalhães Neto, 1.752;11º andar;Pituba;Salvador;BA;Brasil;41810012;;71;36161013;;;;aliancaparticipacoes@alba.com.br
01.971.614/0001-83;2021-01-01;3;114320;EMPRESA NAC COM REDITO PART S.A.ENCORPAR;JOÃO BATSITA DA CUNHA BOMFIM;2010-04-30;;;Av. Paulista 1754;2 sl.;Cerqueira Cesar;São Paulo;SP;Brasil;01310920;;11;21454412;;11;21454581;joao.bomfim@coteminas.com.br
01.989.044/0001-59;2021-01-01;2;103926;WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.;ADRIANA BOMENY FREIRE;2019-05-02;2021-05-02;Endereço da Sede;RUA ESTADOS UNIDOS, Nº 1093;SALA 9;JARDIM AMERICA;São Paulo;SP;Brasil;01427001;;11;33455035;;11;55065446;intercorpconsultoria@uol.com.br
01.989.044/0001-59;2021-01-01;2;103926;WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.;BRUNO DE MELLO BOMENY;2021-05-03;;Endereço da Sede;RUA ESTADOS UNIDOS, Nº 1093;SALA 9;JARDIM AMERICA;São Paulo;SP;Brasil;01427001;;11;30824008;;11;30824008;intercorpconsultoria@uol.com.br
02.016.440/0001-62;2021-01-01;3;105836;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;Carlos Victor Pereira Sicard Cyrino;2019-06-01;;Endereço da Sede;Rua Jorge de Figueiredo Corrêa,1632;Parte;Jd. Prof° Tarcília;Campinas;SP;Brasil;13087397;;019;37568458;;;;ri@cpfl.com.br
02.117.801/0001-67;2021-01-01;3;116822;BONAIRE PARTICIPACOES S.A. - EM LIQUIDAÇÃO;Marcelle Vasconcellos;2015-07-27;;;Rua da Assembleia, nº 10, 37º andar;3701;Centro;Rio de Janeiro;RJ;Brasil;20011000;;21;21285543;;21;21285501;eximia@eximiacapital.com
02.149.205/0001-69;2021-01-01;3;103458;PORTO SEGURO S.A.;Celso Damadi;2020-01-02;;Endereço da Sede;Alameda Barão de Piracicaba, 618/634 - Torre B;11º andar;Campos Elíseos;São Paulo;SP;Brasil;01216012;;011;23937195;;011;23937195;gri@portoseguro.com.br
02.162.616/0001-94;2021-01-01;2;104825;UPTICK PARTICIPACOES S.A.;Marcelle Santos de Vasconcellos;2015-09-01;;Endereço da Sede;Rua da Assembleia, nº 10, 37º andar;3701;Centro;Rio de Janeiro;RJ;Brasil;20011901;;21;21285501;;00;000000;governance@eximiacapital.com
02.193.750/0001-52;2021-01-01;6;113927;DEXXOS PARTICIPAÇÕES S.A.;George Abi-Rihan Cordeiro;2020-10-19;;;Rua do Passeio, 70;5º andar;Centro;Rio de Janeiro;RJ;Brasil;20021290;;21;22124757;;21;22124713;dri@dexxos.com.br
02.221.531/0001-30;2021-01-01;2;110504;RDN CONCESSÕES E PARTICIPAÇÕES S.A.;THAIS CAROLINE BORGES LABRE;2020-04-17;;Endereço da Sede;Rua Afonso Pena;87;Vila Estrela;Ponta Grossa;PR;Brasil;84040170;;042;32202910;;042;32202952;ri.rodonorte@grupoccr.com.br
02.255.187/0001-08;2021-01-01;4;112621;Unifique Telecomunicações S.A.;José Wilson Souza Junior;2020-05-10;;;Rua Duque de Caxias, nº 831;;Centro;Timbó;SC;Brasil;89120000;;47;33802108;;47;33802108;jose.junior@redeunifique.com.br
02.258.422/0001-97;2021-01-01;2;108678;INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;IRAJÁ GALLIANO ANDRADE;2014-12-10;;Endereço da Sede;Alameda dos Jurupis nº 455;10º andar;Moema;São Paulo;SP;Brasil;04088001;;11;50544000;;11;50544009;ri@inepar.com.br
02.291.077/0001-93;2021-01-01;2;106192;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;NANCI TURIBIO GUIMARÃES;2006-06-20;;Endereço da Sede;Rua São José, 90;grupo 2001;Centro;Rio de Janeiro;RJ;Brasil;20010020;;21;24905340;;21;24905340;nanci@bullfinance.com.br
02.302.100/0001-06;2021-01-01;6;112294;EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A.;Marilia Barbosa Nogueira;2014-06-03;;;Rua Werner Von Siemens, 111;Prédio 22, bloco A.;Lapa de Baixo;São Paulo;SP;Brasil;05069900;;11;21855907;;11;21855920;ri@edp.com
02.302.101/0001-42;2021-01-01;2;104748;EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.;Pablo Andrés Fernandes Uhart;2020-07-27;;Endereço da Sede;Avenida Jornalista Roberto Marinho, 85;16º e 17º andares;Cidade Monções;São Paulo;SP;Brasil;04576010;;011;27636502;;011;38881821;dir_financeira@emae.com.br
02.328.280/0001-97;2021-01-01;5;108276;ELEKTRO REDES S.A.;Renato Rocha;2021-01-19;;Endereço da Sede;Praia do Flamengo, 78;10º andar;Flamengo;Rio de Janeiro;RJ;Brasil;22210030;;21;32359828;;21;32359876;ri@neoenergia.com
02.338.534/0001-58;2021-01-01;2;111500;LONGDIS S.A.;Marcos Navajas;2017-12-27;;;Rua Joaquim Floriano;466;Itaim Bibi;São Paulo;SP;Brasil;04534002;;11;35088999;;11;35088999;marcosnavajas@hotmail.com
02.351.144/0001-18;2021-01-01;1;100245;TEGMA GESTAO LOGISTICA S.A.;Ian Nunes Costa e Costa;2012-10-31;;Endereço da Sede;Av Nicola Demarchi, 2000;;Demarchi;São Bernardo do Campo;SP;Brasil;09820655;;11;43979423;;11;43979423;ian.nunes@tegma.com.br
02.351.877/0001-52;2021-01-01;1;103280;LOCAWEB SERVIÇOS DE INTERNET S.A.;Rafael Chamas Alves;2019-12-04;;Endereço da Sede;Rua Itapaiúna, 2.434;;Vila Andrade;São Paulo;SP;Brasil;05707001;;11;35440444;;11;35440444;ri@locaweb.com.br
02.365.069/0001-44;2021-01-01;4;106263;PADTEC HOLDING S.A.;Daniela Tinoco;2020-07-10;;Endereço da Sede;Rua Dr. Ricardo Benetton Martins nº 1.000;Parque II;Polo Alta Tecnologia;Campinas;SP;Brasil;13086510;;019;21049703;;;;ri@padtec.com.br
02.382.073/0001-10;2021-01-01;1;104802;PROLAGOS S/A - CONC.DE SERVICOS PÚBLICOS DE ÁGUA E ESGOTO;André Pires de Oliveira Dias;2020-11-10;;Endereço da Sede;Av Brigadeiro Faria Lima, nº 1.663 - Ed. Plaza São Lourenço;1º andar, sl 1;Jardim Paulistano;São Paulo;SP;Brasil;01452001;;5511;38188150;;5511;38188166;ri@aegea.com.br
02.387.241/0001-60;2021-01-01;1;105889;RUMO S.A.;Gustavo Marder da Rosa;2017-10-05;;Endereço da Sede;Emilio Bertolini, 100;n/a;Cajuru;Curitiba;PR;Brasil;82920030;;41;21417555;;41;33656566;ir@rumolog.com
02.397.080/0001-96;2021-01-01;4;108469;ITAPEBI GERACAO DE ENERGIA S.A.;Renato Rocha;2021-01-19;;Endereço da Sede;Praia do Flamengo, 78;10º andar;Flamengo;Rio de Janeiro;RJ;Brasil;22210030;;21;32359828;;21;32359876;ri@neoenergia.com
02.415.408/0001-50;2021-01-01;1;104742;CONC ROD.OESTE SP VIAOESTE S.A;JOSÉ SALIM KALLAB FRAIHA;2020-06-01;;Endereço da Sede;Rod. Pres. Castello Branco, KM 24 - lado par sentido capital;Conjunto Norte;Jardim Mutinga;Barueri;SP;Brasil;06463400;;11;26646000;;11;26646121;cvm.viaoeste@grupoccr.com.br
02.421.421/0001-11;2021-01-01;3;111638;TIM S.A.;Adrian Calaza;2019-10-01;2021-08-31;;Avenida João Cabral de Melo Neto, nº 850, Torre Sul;12º andar;Barra da Tijuca;Rio de Janeiro;RJ;Brasil;22775057;;021;41094167;;021;41094542;ri@timbrasil.com.br
02.421.421/0001-11;2021-01-01;3;111638;TIM S.A.;Camille Loyo Faria;2021-09-01;;;Avenida João Cabral de Melo Neto, nº 850, Torre Sul;12º andar;Barra da Tijuca;Rio de Janeiro;RJ;Brasil;22775057;;021;41094167;;021;41094542;ri@timbrasil.com.br
02.429.144/0001-93;2021-01-01;1;104844;CPFL ENERGIA S.A.;Carlos Victor Pereira Sicard Cyrino;2019-06-01;;Endereço da Sede;Rua Jorge de Figueiredo Corrêa;1632, parte;Jd Prof. Tarcília;Campinas;SP;Brasil;13087397;;019;37568458;;;;ri@cpfl.com.br
02.451.848/0001-62;2021-01-01;2;114566;CONC SIST ANHANG-BANDEIRANT S.A. AUTOBAN;Rogério Cezar Bahú;2019-07-25;;;Avenida Professora Maria do Carmo Guimarães Pellegrini, 200;Bloco E;Retiro;Jundiaí;SP;Brasil;13209500;;011;45894005;;011;45894006;invest@grupoccr.com.br
02.465.783/0001-04;2021-01-01;2;114022;FUTURETEL S.A. - EM LIQUIDAÇÃO;Fernando José do Amaral Friedheim;2018-03-27;;;Rua Embaixador Morgan;12;Humaitá;Rio de Janeiro;RJ;Brasil;22261140;;021;987444411;;021;25396005;f.friedheim@ig.com.br
02.474.103/0001-19;2021-01-01;1;99703;ENGIE BRASIL ENERGIA S.A.;RAFAEL JOSÉ CARON BÓSIO;2015-11-01;;Endereço da Sede;Rua Paschoal Apóstolo Pítsica, 5064;;Agronômica;Florianópolis;SC;Brasil;88025255;;48;32217225;;48;32217253;ri.brenergia@engie.com
02.502.844/0001-66;2021-01-01;1;105899;RUMO MALHA PAULISTA S.A.;Gustavo Marder da Rosa;2017-10-05;;Endereço da Sede;Rua Emílio Bertolini;100;Cajuru;Curitiba;PR;Brasil;82920030;;41;21417555;;41;33656566;ir@rumolog.com
02.558.157/0001-62;2021-01-01;2;110771;TELEFÔNICA BRASIL S.A;Ronaldo Bechelli;2015-09-05;;;Av. Eng. Luis Carlos Berrini, 1376;17º andar;Cidade Monções;São Paulo;SP;Brasil;04571936;;11;34301442;;11;55051355;ronaldo.bechelli@telefonica.com
02.560.878/0001-07;2021-01-01;2;110708;HOSPITAL ANCHIETA S.A.;Flávio Figueiredo Deluiggi;2021-09-09;;Endereço da Sede;Área Especial, 8/9/10;Setor C Norte;Taguatinga;Brasília;DF;Brasil;72115700;;27;33464232;;;;flavio.deluiggi@korasaude.com.br
02.591.787/0001-39;2021-01-01;2;110372;CAPITALPART PARTICIPACOES S.A.;Marcos Navajas;2017-12-27;;Endereço da Sede;Rua Joaquim Floriano;466;Itaim Bibi;São Paulo;SP;Brasil;04534002;;11;35088999;;11;35088999;marcosnavajas@hotmail.com
02.591.787/0001-39;2021-01-01;2;110372;CAPITALPART PARTICIPACOES S.A.;Marcos Navajas;2017-12-27;;Endereço para Correspondência;Rua Lauro Muller, 116;Sala 504 (parte);Botafogo;Rio de Janeiro;RJ;Brasil;22290160;;21;32318200;;21;22626675;kevin@mattosfilho.com.br
02.635.522/0001-95;2021-01-01;3;108381;Jalles Machado S.A.;Rodrigo Penna de Siqueira;2020-11-27;;Endereço da Sede;Rodovia GO-080, KM 75,1;Fazenda São Pedro, s;Zona Rural;Goianésia;GO;Brasil;76388899;;62;33899000;;;;ri@jallesmachado.com
02.635.522/0001-95;2021-01-01;3;108381;Jalles Machado S.A.;Rodrigo Penna de Siqueira;2020-11-27;;Endereço da Sede;Rodovia GO-080, KM 185;Fazenda São Pedro, s;Zona Rural;Goianésia;GO;Brasil;76388899;;65;984177004;;;;ri@jallesmachado.com
02.682.287/0001-02;2021-01-01;2;105641;PAN ARRENDAMENTO MERCANTIL S.A.;Mauro Dutra Mediano Dias;2020-05-27;;Endereço da Sede;Avenida Paulista, 1374;16º andar;Bela Vista;São Paulo;SP;Brasil;01310100;;11;32645343;;;;ri@grupopan.com
02.762.113/0001-50;2021-01-01;2;105705;BRAZILIAN FINANCE E REAL ESTATE S.A.;Mauro Dutra Mediano Dias;2020-03-03;;Endereço da Sede;Av. Paulista, 1.374;15º andar;Bela Vista;São Paulo;SP;Brasil;01310100;;011;32645343;;011;32645343;ri_bfre@grupopan.com
02.762.115/0001-49;2021-01-01;2;105987;MMX MINERACAO E METALICOS S.A. - EM RECUPERAÇÃO JUDICIAL;Joaquim Martino Ferreira;2020-09-28;;Endereço da Sede;Rua Lauro Müller, 116;Sl. 2403;Botafogo;Rio de Janeiro;RJ;Brasil;22290906;;21;32375200;;21;32375200;ri@mmx.com.br
02.762.115/0001-49;2021-01-01;2;105987;MMX MINERACAO E METALICOS S.A. - EM RECUPERAÇÃO JUDICIAL;Joaquim Martino Ferreira;2020-09-28;;Endereço da Sede;Rua Lauro Müller, 116;Sl. 2403;Botafogo;Rio de Janeiro;RJ;Brasil;22290906;;21;21635500;;21;21635500;ri@mmx.com.br
02.762.121/0001-04;2021-01-01;2;106699;SANTOS BRASIL PARTICIPACOES S.A.;Juliano Martins Navarro;2017-05-16;;Endereço da Sede;Rua Joaquim Floriano, 413 - 10º andar;cj 101 e 102;Itaim Bibi;São Paulo;SP;Brasil;04534011;;11;32793279;;;;dri@santosbrasil.com.br
02.800.026/0001-40;2021-01-01;4;109409;COGNA EDUCAÇÃO S.A.;Frederico da Cunha Villa;2021-04-12;;;Av. Paulista, 901;2º Andar;Bela Vista;São Paulo;SP;Brasil;01310100;;11;31337309;;11;31337309;dri@cogna.com.br
