CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Escriturador;CNPJ_Escriturador;Tipo_Endereco;Logradouro;Complemento;Bairro;Cidade;Sigla_UF;Pais;CEP;DDI_Telefone;DDD_Telefone;Telefone;DDI_Fax;DDD_Fax;Fax;Email;Data_Inicio_Atuacao;Data_Fim_Atuacao
00.336.701/0001-04;2021-01-01;2;112752;TELEC BRASILEIRAS S.A. TELEBRAS;Banco Bradesco S.A.;60.746.948/0001-12;;CIDADE DE DEUS S/N - PRÉDIO AMARELO;2º ANDAR;Vila Yara;Osasco;SP;Brasil;06029900;;11;36843749;;11;36845645;hamilton.brito@bradesco.com;2010-05-10;
00.359.742/0001-08;2021-01-01;3;110260;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Banco Bradesco S.A.;60.746.948/0001-12;;AVENIDA YARA;S/N;CIDADE DE DEUS;Osasco;SP;Brasil;06029900;;11;36844114;;11;36843811;4010.fabiana@bradesco.com.br;2008-01-15;
00.416.968/0001-01;2021-01-01;1;105603;BANCO INTER S.A.;Banco Bradesco S.A.;60.746.948/0001-12;Endereço da Sede;Núcleo Cidade de Deus, s/nº, Prédio Amarelo;2º andar;Vila Yara;Osasco;SP;Brasil;06029900;;11;36844522;;11;36845645;4010.acoes@bradesco.com.br;2018-02-01;
00.545.378/0001-70;2021-01-01;2;103664;SERRA AZUL WATER PARK SA;Banco Bradesco S.A.;60.746.948/0001-12;Endereço da Sede;BANCO BRADESCO SA;;VILA YARA;São Paulo;SP;Brasil;06029900;;011;38649411;;011;38649411;fernando.serafim@bradesco.com.br;2010-01-14;
00.644.907/0001-93;2021-01-01;4;112332;INVESTCO S.A.;Itaú Corretora de Valores S.A.;61.194.353/0001-64;;R. Boa Vista, 176;1º subsolo;Centro;São Paulo;SP;Brasil;01014000;;11;30039285;;;;escrituracaorendavariavel@itau-unibanco.com.br;2009-06-24;
00.743.065/0001-27;2021-01-01;2;104819;LITEL PARTICIPACOES S.A.;Itaú Corretora de Valores Mobiliários S/A;61.194.353/0001-64;Endereço da Sede;Rua Ururaí, 111;Prédio B - Térreo;Tatuapé;São Paulo;SP;Brasil;03084010;;011;27974128;;011;27973140;rosane-aparecida.silva@itau-unibanco.com.br;2009-04-02;
00.776.574/0001-56;2021-01-01;3;113211;AMERICANAS S.A.;Itau unibanco SA;60.701.190/0001-04;;Praça Alfredo Egydio de Souza Aranha;100;Parque Jabaquara;São Paulo;SP;Brasil;04344902;;11;27974515;;11;27974075;escrituracaoacoes@itau-unibanco.com.br;2007-04-01;
00.864.214/0001-06;2021-01-01;5;111654;ENERGISA S.A.;Itaú Corretora de Valores;61.194.353/0001-64;;Avenida Eusébio Matoso, 891;17° Andar;Pinheiros;São Paulo;SP;Brasil;05423901;;11;30039285;;;;ri@energisa.com.br;2009-09-30;
00.924.429/0001-75;2021-01-01;1;100244;FERROVIA CENTRO-ATLANTICA S.A.;BANCO BRADESCO SA;60.746.948/0001-12;Endereço da Sede;Avenida Yara;s/n;Cidade de Deus;Osasco;SP;Brasil;06029900;;011;36849441;;011;36843811;dac.escrituracao@bradesco.com.br;2011-08-01;
00.974.211/0001-25;2021-01-01;5;104707;Linha Amarela S.A. - LAMSA;Itaú Unibanco S.A.;60.701.190/0001-04;Endereço da Sede;Praça Alfredo Egydio de Souza Aranha nº 100;Torre Olavo Setúbal;Parque Jabaquara;São Paulo;SP;Brasil;04344902;;5521;50294249;;5521;50294249;escrituracaodeacoes@itau-unibanco.com.br;2001-11-19;
01.027.058/0001-91;2021-01-01;1;99670;CIELO S.A.;Banco Bradesco S.A.;60.746.948/0001-12;Endereço da Sede;Cidade de Deus S/N;Prédio Amarelo;Osasco;Osasco;SP;Brasil;06029900;;11;36849495;;11;36843811;4010.acecustodia@bradesco.com.br;2008-08-29;
01.083.200/0001-18;2021-01-01;3;103314;NEOENERGIA S.A.;Itaú Corretora de Valores S.A.;61.194.353/0001-64;Endereço da Sede;Rua Virgínia 299, prédio B;Térro;Tatuapé;São Paulo;SP;Brasil;03084010;;0000;30039285;;0011;30039285;escrituracaoacoes@itau-unibanco.com.br;2020-03-02;
01.104.937/0001-70;2021-01-01;1;104805;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Banco Bradesco S.A.;60.746.948/0001-12;Endereço da Sede;AV IARA, S/N;EDIFICIO;CIDADE DE DEUS;Osasco;SP;Brasil;06029900;;11;36849441;;11;36843811;4010.CARLOSDIAS@BRADESCO.COM.BR;2009-05-18;
01.107.327/0001-20;2021-01-01;1;103057;BBM Logística S.A.;Itaú Corretora S.A.;61.194.353/0001-64;Endereço da Sede;Avenida Brigadeiro Faria Lima, n° 3.500;3º andar;Itaim Bibi;;SP;Brasil;04538132;;;;;;;;2017-10-20;
01.258.944/0001-26;2021-01-01;2;106622;FERROVIA SUL-ATLANTICO S.A.;Itaú Corretora de Valores S.A.;61.194.353/0001-64;Endereço da Sede;Rua Ururaí, 111;Prédio B;Tatuapé;São Paulo;SP;Brasil;03084010;;11;27974526;;11;27973150;escrituracaoacoes@itau-unibanco.com.br;2004-01-15;
01.417.222/0001-77;2021-01-01;3;109072;MRS LOGISTICA S.A.;Banco Bradesco S.A.;60.746.948/0001-12;Endereço da Sede;Cidade de Deus S/Nº - Prédio Amarelo;2º andar;Vila Yara;Osasco;SP;Brasil;06029900;;011;36843749;;011;36842714;4010.acoes@bradesco.com.br;1996-12-16;
01.468.594/0001-22;2021-01-01;2;102718;LG Informática S.A.;Itaú Corretora de Valores S.A.;61.194.353/0001-64;Endereço da Sede;Rua Ururaí, 111, Prédio B;Térreo;Tatuapé;São Paulo;SP;Brasil;03084010;;11;27974515;;11;27973140;escrituracaoacoes@itau-unibanco.com.br;;
01.545.826/0001-07;2021-01-01;1;105591;GAFISA S.A.;Itau Unibanco S/A;60.701.190/0001-04;Endereço da Sede;PÇA ALFREDO E. SOUZA ARANHA T. OLAVO SETUBAL;100;PQ. JABAQUARA;São Paulo;SP;Brasil;04344902;;11;50291612;;11;50291534;rosane-aparecida.silva@itau-unibanco.com.br;2006-03-01;
01.547.749/0001-16;2021-01-01;1;104822;521 PARTICIPACOES S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL;Banco do Brasil;00.000.000/0001-91;Endereço da Sede;Rua Senador Dantas, 105;38 andar;Centro;Rio de Janeiro;RJ;Brasil;20031204;;021;38086005;;021;38086088;aescriturais@bb.com.br;2001-12-21;
01.548.981/0001-79;2021-01-01;2;100986;INVESTIMENTOS BEMGE S.A.;Itaú Corretora de Valores S.A.;61.194.353/0001-64;Endereço da Sede;Agência Especializada Acionistas - Rua Boa Vista, 176;1º Subsolo;Centro;São Paulo;SP;Brasil;01092900;;11;30039285;;;;escrituracaoacoes@itau-unibanco.com.br;1998-09-28;
01.599.101/0001-93;2021-01-01;5;112631;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Itaú Corretora de Valores S.A.;61.194.353/0001-64;;Rua Ururaí, 111;Prédio B - Térreo;Tatuapé;São Paulo;SP;Brasil;03084010;;011;24974529;;011;27973750;adriana.souza@itau-unibanco.com.br;2020-09-10;
01.616.929/0001-02;2021-01-01;3;109503;SANEAMENTO DE GOIAS SA;Banco Bradesco S.A.;60.746.948/0001-12;;Cidade de Deus - Prédio Amarelo;2º andar;Vila Yara;Osasco;SP;Brasil;06029900;;11;36849441;;11;36847654;dac.escrituracao@bradesco.com.br;2019-11-25;
01.838.723/0001-27;2021-01-01;1;106185;BRF S.A.;Itau Corretora Valores S.A.;61.194.353/0001-64;Endereço da Sede;Av Brigadeiro Faria Lima, 3.400;10 andar;Pinheiros;São Paulo;SP;Brasil;04538132;;011;30039285;;;;escrituracaoacoes@itau-unibanco.com.br;2013-01-01;
01.851.771/0001-55;2021-01-01;2;109111;524 PARTICIPACOES S.A.;Itaú Corretora de Valores SA;61.194.353/0001-64;Endereço da Sede;AVENIDA BRIGADEIRO FARIA LIMA;3500/3º ANDAR;ITAIMBIBI;Rio de Janeiro;RJ;Brasil;04538132;;11;27974529;;11;27973750;adriana.souza@itau-unibanco.com.br;2015-01-15;
01.896.779/0001-38;2021-01-01;1;104897;CSU CARDSYSTEM S.A.;Itaú Corretora de Valores S/A;61.194.353/0001-64;Endereço para Correspondência;Avenida Brigadeiro Faria Lima;3.400;Itaim Bibi;São Paulo;SP;Brasil;04538133;;11;50291809;;11;50291920;gercina.bueno@itau-unibanco.com.br;2006-03-14;
01.917.818/0001-36;2021-01-01;5;113186;LIGHT ENERGIA S.A.;Banco Bradesco S.A;60.746.948/0001-12;;Rua Yara;sem número;Cidade de Deus;Osasco;SP;Brasil;06028100;;11;36842044;;00;0000000000;4010.acoes@bradesco.com.br;2006-01-13;
01.938.783/0001-11;2021-01-01;8;114164;CIA PARTICIPACOES ALIANCA DA BAHIA;Itaú Corretora de Valores S.A.;61.194.353/0001-64;;Av Brigadeiro Faria Lima;3.500 3º andar;Itaim Bibi;São Paulo;SP;Brasil;40010020;;11;27402597;;11;27973140;escrituracaorendavarial@itau-unibanco.com.br;1997-07-21;
01.957.772/0001-89;2021-01-01;2;113560;SUL 116 PARTICIPACOES S.A.;ITAU CORRETORA DE VALORES S.A.;61.194.353/0001-64;;Avenida Brigadeiro Faria Lima, 3400;10 andar;Itaim Bibi;São Paulo;SP;Brasil;04538132;;11;50297780;;11;50291943;investfone.investimento@itau-unibanco.com.br;2006-09-25;
02.016.440/0001-62;2021-01-01;3;105836;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;Banco Itaú S.A.;60.701.190/0001-04;Endereço da Sede;Pça Alfredo Egidio de Souza Aranha, 100;9 Andar;Jabaquara;São Paulo;SP;Brasil;04344902;;11;50297780;;11;50291920;investfone.investmento@itau-unibanco.com.br;;
02.062.747/0001-08;2021-01-01;2;109118;SUDESTE S.A.;Itaú Corretora de Valores SA;61.194.353/0001-64;Endereço da Sede;AVENIDA BRIGADEIRO FARIA LIMA;3500/3º ANDAR;ITAIMBIBI;Rio de Janeiro;RJ;Brasil;04538132;;11;27974529;;11;27973750;adriana.souza@itau-unibanco.com.br;2015-01-15;
02.117.801/0001-67;2021-01-01;3;116822;BONAIRE PARTICIPACOES S.A. - EM LIQUIDAÇÃO;Banco Bradesco S.A.;60.746.948/0001-12;;Núcleo Cidade de Deus, s/n;;Vila Yara;Osasco;SP;Brasil;06020000;;;;;;;;2019-04-24;
02.149.205/0001-69;2021-01-01;3;103458;PORTO SEGURO S.A.;Itaú Corretora de Valores S.A.;61.194.353/0001-64;Endereço da Sede;Avenida Brigadeiro Faria Lima, 3.400;10º andar;Itaim Bibi;São Paulo;SP;Brasil;04538132;;011;27402597;;011;27402571;danilo.alvarenga@itau-unibanco.com.br;2010-04-20;
02.162.616/0001-94;2021-01-01;2;104825;UPTICK PARTICIPACOES S.A.;Itaú Corretora de Valores Mobiliários S/A;61.194.353/0001-64;Endereço da Sede;Rua Ururaí, 111;Prédio B - Térreo;Tatuapé;São Paulo;SP;Brasil;03084010;;011;27974128;;011;27973140;rosane-aparecida.silva@itau-unibanco.com.br;2009-04-02;
02.193.750/0001-52;2021-01-01;6;113927;DEXXOS PARTICIPAÇÕES S.A.;Itaú Corretora de Valores S.A.;61.194.353/0001-64;;Rua Ururaí, 111;Prédio B - Térreo;Tatuapé;São Paulo;SP;Brasil;03084010;;011;27974515;;011;27973140;escrituracaoacoes@itau-unibanco.com.br;1997-11-20;
02.217.319/0001-07;2021-01-01;4;107279;YBYRÁ S.A.;Itaú Corretora de Valores SA;61.194.353/0001-64;Endereço da Sede;AVENIDA BRIGADEIRO FARIA LIMA;3500/3º ANDAR;ITAIMBIBI;Rio de Janeiro;RJ;Brasil;04538132;;11;27974529;;11;27973750;adriana.souza@itau-unibanco.com.br;2015-01-15;
02.255.187/0001-08;2021-01-01;4;112621;Unifique Telecomunicações S.A.;Banco Bradesco S.A.;60.746.948/0001-12;;Núcleo da Cidade de Deus;s/n;Vila Yara;Osasco;SP;Brasil;06029900;;11;36849444;;;;rosinaldo.gomes@bradesco.com.br;2021-05-06;
02.258.422/0001-97;2021-01-01;2;108678;INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;BANCO BRADESCO;60.746.948/0001-12;Endereço da Sede;Avenida Yara, s/n;;Cidade de Deus;;SP;Brasil;06029900;;11;36843811;;11;36843811;4010.fabiana@bradesco.com.br;2008-01-15;
02.291.077/0001-93;2021-01-01;2;106192;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;Banco Itaú S/A;60.701.190/0001-04;Endereço da Sede;Praça Alfredo Eghidio de Souza Aranha;100;Jabaquara;São Paulo;SP;Brasil;04344902;;11;50291919;;11;50291917;escrituracaorendavariavel@itau-unibanco.com.br;2007-04-04;
02.302.101/0001-42;2021-01-01;2;104748;EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.;Banco Brasileiro de Descontos S.A.;60.746.948/0001-12;Endereço para Correspondência;Avenida Iara, s/n;Cidade de Deus;Vila Yara;Osasco;SP;Brasil;06029900;;011;36849495;;011;36843811;4010.acecustodia@bradesco.com.br;2010-01-08;
02.318.346/0001-68;2021-01-01;4;110431;OPPORTUNITY ENERGIA E PARTICIPACOES S.A. - EM LIQUIDAÇÃO;Itaú Corretora de Valores SA;61.194.353/0001-64;;AVENIDA BRIGADEIRO FARIA LIMA;3500/3º ANDAR;ITAIMBIBI;Rio de Janeiro;RJ;Brasil;04538132;;11;27974529;;11;27973750;adriana.souza@itau-unibanco.com.br;2015-01-15;
02.328.280/0001-97;2021-01-01;5;108276;ELEKTRO REDES S.A.;Itaú Corretora de Valores S.A.;61.194.353/0001-64;Endereço da Sede;Rua Virgínia 299, prédio B;Térro;Tatuapé;São Paulo;SP;Brasil;03084010;;0000;30039285;;0011;30039285;escrituracaoacoes@itau-unibanco.com.br;1998-01-26;
02.338.534/0001-58;2021-01-01;2;111500;LONGDIS S.A.;Itau Corretora de Valores S/A;61.194.353/0001-64;;AV. BRIGADEIRO FARIA LIMA, 3400;10° ANDAR;ITAIM BIBI;São Paulo;SP;Brasil;04538132;;11;50297780;;11;50291943;investfone.investimento@itau-unibanco.com.br;2007-09-25;
02.351.144/0001-18;2021-01-01;1;100245;TEGMA GESTAO LOGISTICA S.A.;Itaú Corretora de Valores S.A.;61.194.353/0001-64;Endereço da Sede;Avenida Brigadeiro Faria Lima,3400;3º andar;Itaim Bibi;São Paulo;SP;Brasil;04538132;;11;48705355;;11;48705355;escrituracaorendavariavel@itau-unibanco.com.br;2007-05-28;
02.351.877/0001-52;2021-01-01;1;103280;LOCAWEB SERVIÇOS DE INTERNET S.A.;Itaú Corretora de Valores S.A.;61.194.353/0001-64;Endereço da Sede;Avenida Brigadeiro Faria Lima, 3.400;10º andar;Itaim Bibi;São Paulo;SP;Brasil;04538132;;;;;;;;2009-03-02;
02.357.251/0001-53;2021-01-01;1;104899;LIFEMED INDUSTRIAL DE EQUIP. E ART. MEDICOS E HOSP. S.A;Itaú Unibanco S.A.;60.701.190/0001-04;Endereço da Sede;Avenida Brigadeiro Faria Lima, 3400;10o. andar;Vila Olimpia;São Paulo;SP;Brasil;04538132;;11;30726113;;;;erve.retes@itau-unibanco.com.br;2017-11-14;
02.365.069/0001-44;2021-01-01;4;106263;PADTEC HOLDING S.A.;Itaú Corretora de Valores S.A.;61.194.353/0001-64;Endereço da Sede;Av. Brigadeiro Faria Lima;3.500, 3º andar;Itaim Bibi;São Paulo;SP;Brasil;04538132;;11;27402572;;;;escrituracaoacoes@itau-unibanco.com.br;2000-03-10;
02.387.241/0001-60;2021-01-01;1;105889;RUMO S.A.;Itaú Corretora de Valores S.A.;61.194.353/0001-64;Endereço da Sede;Rua Ururaí, 111;Prédio B;Tatuapé;São Paulo;SP;Brasil;03084010;;11;27974526;;11;27973150;escrituracaoacoes@itau-unibanco.com.br;2004-01-15;
02.397.080/0001-96;2021-01-01;4;108469;ITAPEBI GERACAO DE ENERGIA S.A.;Itaú Corretora de Valores S.A.;61.194.353/0001-64;Endereço da Sede;Rua Virgínia 299, prédio B;Térro;Tatuapé;São Paulo;SP;Brasil;03084010;;0000;30039285;;0011;30039285;escrituracaoacoes@itau-unibanco.com.br;2020-02-19;
02.415.408/0001-50;2021-01-01;1;104742;CONC ROD.OESTE SP VIAOESTE S.A;Itaú Corretora de Valores S.A.;61.194.353/0001-64;Endereço da Sede;Rua Ururaí, 111;Prédio B - Térreo;Tatuapé;São Paulo;SP;Brasil;03084010;;11;27974207;;11;27973140;escrituracaoacoes@itau-unibanco.com.br;2009-02-02;
02.421.421/0001-11;2021-01-01;3;111638;TIM S.A.;Banco Bradesco S.A.;60.746.948/0001-12;;Cidade de Deus - Prédio Amarelo;2º andar;Vila Yara;São Paulo;SP;Brasil;06029900;;11;36844522;;11;36845645;4010.acoes@bradesco.com.br;;
02.429.144/0001-93;2021-01-01;1;104844;CPFL ENERGIA S.A.;Banco do Brasil;00.000.000/0001-91;Endereço para Correspondência;Rua Lélio Gama, 105 - 38o andar;Gecin;Centro;Rio de Janeiro;RJ;Brasil;20031080;;21;38083551;;21;38086088;aescriturais@bb.com.br;2011-01-01;
02.451.848/0001-62;2021-01-01;2;114566;CONC SIST ANHANG-BANDEIRANT S.A. AUTOBAN;Itau Unibanco S/A;60.701.190/0001-04;;Pça. Alfredo E. S. Aranha, 100;;Parque Jabaquara;São Paulo;SP;Brasil;04344902;;11;50292206;;11;50291515;;2001-09-10;
02.465.783/0001-04;2021-01-01;2;114022;FUTURETEL S.A. - EM LIQUIDAÇÃO;Itaú Corretora de Valores S.A.;61.194.353/0001-64;;Avenida Brigadeiro Faria Lima;3400 10 andar;Itaim Bibi;São Paulo;SP;Brasil;04538132;;011;50297780;;011;50291943;investfone.investimento@itau-unibanco.com.br;2005-09-02;2018-03-27
02.474.103/0001-19;2021-01-01;1;99703;ENGIE BRASIL ENERGIA S.A.;Itaú Corretora de Valores S.A.;61.194.353/0001-64;Endereço da Sede;Rua Ururaí, 111;Prédio B - Térreo;Tatuapé;São Paulo;SP;Brasil;03084010;;011;27402572;;;;escrituracaorendavariavel@itau-unibanco.com.br;2004-06-01;
02.502.844/0001-66;2021-01-01;1;105899;RUMO MALHA PAULISTA S.A.;Itaú Corretora de Valores S.A.;61.194.353/0001-64;Endereço da Sede;Rua Ururaí;111, Prédio B;Tatuapé;São Paulo;SP;Brasil;03084010;;11;27974526;;11;27973150;escrituracaoacoes@itau-unibanco.com.br;2004-01-15;
02.558.157/0001-62;2021-01-01;2;110771;TELEFÔNICA BRASIL S.A;Banco Bradesco S/A;60.746.948/0001-12;;Cidade de Deus - Prédio Amarelo;2º andar;Vila Yara;São Paulo;SP;Brasil;06029900;;011;36847651;;011;36843811;4010.acecustodia@bradesco.com.br;2010-03-22;
02.591.787/0001-39;2021-01-01;2;110372;CAPITALPART PARTICIPACOES S.A.;Itau Corretora de Valores S/A;61.194.353/0001-64;Endereço para Correspondência;AV. BRIGADEIRO FARIA LIMA, 3400;10° ANDAR;ITAIM BIBI;São Paulo;SP;Brasil;04538132;;11;50297780;;11;50291943;investfone.investimento@itau-unibanco.com.br;2005-09-02;
02.635.522/0001-95;2021-01-01;3;108381;Jalles Machado S.A.;Itaú Corretora de Valores S.A.;61.194.353/0001-64;Endereço da Sede;Rua Ururaí, n.º 111;Prédio B, Térreo;Tatuapé;São Paulo;SP;Brasil;03084010;;11;30726156;;;;escrituracaorendavariavel@itau-unibanco.com.br;;
02.762.113/0001-50;2021-01-01;2;105705;BRAZILIAN FINANCE E REAL ESTATE S.A.;Itaú Corretora de Valores S.A.;61.194.353/0001-64;Endereço da Sede;Avenida Brigadeiro Faria Lima, 3400;10º andar;Itaim Bibi;São Paulo;SP;Brasil;04538133;;11;30039285;;11;30039285;escrituracaoacoes@itau-unibanco.com.br;2007-04-04;
02.762.115/0001-49;2021-01-01;2;105987;MMX MINERACAO E METALICOS S.A. - EM RECUPERAÇÃO JUDICIAL;Itaú Corretora de Valores S.A.;60.701.190/0001-04;Endereço da Sede;Praça Alfredo Egydio de Souza Aranha, nº 100;Torre Itaúsa;Jabaquara;São Paulo;SP;Brasil;04344902;;011;30039285;;011;50291920;escrituracao@itau-unibanco.com.br;2005-12-07;
02.762.121/0001-04;2021-01-01;2;106699;SANTOS BRASIL PARTICIPACOES S.A.;Itaú Corretora de Valores S.A.;61.194.353/0001-64;Endereço da Sede;Av. Brigadeiro Faria Lima, nº 3400;10o andar;Itaim Bibi;São Paulo;SP;Brasil;04538132;;11;27942572;;;;gercina.bueno@itau-unibanco.com.br;2007-10-24;
02.762.124/0001-30;2021-01-01;1;100722;BETAPART PARTICIPACOES S.A.;Itaú Corretora de Valores SA;61.194.353/0001-64;Endereço da Sede;Av. Brigadeiro Faria Lima, 3.500;3º andar;Itaim Bibi;São Paulo;SP;Brasil;04538132;;011;27974529;;011;27973750;adriana.souza@itau-unibanco.com.br;2015-01-15;
02.773.542/0001-22;2021-01-01;2;109187;OPEA SECURITIZADORA S.A.;Itaú Corretora de Valores S.A;61.194.353/0001-64;Endereço para Correspondência;Avenida Brigadeiro Faria Lima, 3400;.;Itaim Bibi;São Paulo;SP;Brasil;04538132;;11;50291919;;11;50291919;rosana.souza@itau-unibanco.com.br;2004-01-01;
02.783.423/0001-50;2021-01-01;1;105620;ALTERE SECURITIZADORA S.A.;Banco Paulista S/A;61.820.817/0001-09;Endereço da Sede;Av. Brigadeiro Faria Lima, 1.355;2º andar;Jardim Paulistano;São Paulo;SP;Brasil;01452090;;11;32992397;;;;guilherme.maciel@bancopaulista.com.br;2018-01-01;
02.796.775/0001-40;2021-01-01;2;109115;GAMA PARTICIPACOES S.A.;Itaú Corretora de Valores SA;61.194.353/0001-64;Endereço da Sede;AVENIDA BRIGADEIRO FARIA LIMA;3500/3º ANDAR;ITAIMBIBI;Rio de Janeiro;RJ;Brasil;04538132;;11;27974529;;11;27973750;adriana.souza@itau-unibanco.com.br;2015-01-15;
02.800.026/0001-40;2021-01-01;4;109409;COGNA EDUCAÇÃO S.A.;Banco Bradesco S/A;60.746.948/0001-12;;Cidade de Deus;s/n;Vila Yara;Osasco;SP;Brasil;06029900;;11;36849441;;11;36842811;dac.escrituracao@bradesco.com.br;2014-09-01;
02.846.056/0001-97;2021-01-01;4;113793;CCR S.A.;Itaú Corretora de Valores;61.194.353/0001-64;;Rua Ururaí, 111;Prédio B - Térreo;Tatuapé;São Paulo;SP;Brasil;03084010;;011;27404515;;011;27403140;escrituracaoacoes@itau-unibanco.com.br;2002-02-01;
02.860.694/0001-62;2021-01-01;5;108610;T4F ENTRETENIMENTO S.A.;Banco Bradesco S.A.;60.746.948/0001-12;Endereço da Sede;Cidade de Deus, sem nº;-;Vila Yara;Osasco;SP;Brasil;06029900;;11;36849441;;11;36843811;4010.acoes@bradesco.com.br;2011-01-20;
02.916.265/0001-60;2021-01-01;1;105476;JBS S.A.;Banco Bradesco S.A.;60.746.948/0001-12;Endereço da Sede;Núcleo Cidade de Deus, s/nº;Prédio Amarelo, 2º a;Vila Yara, Osasco;São Paulo;SP;Brasil;06029900;;11;36849411;;11;36842811;carlosd.pereira@bradesco.com.br;2020-03-02;
02.919.555/0001-67;2021-01-01;2;102638;ARTERIS S.A.;Itaú Corretora de Valores S.A.;61.194.353/0001-64;Endereço da Sede;Av. Eng. Armando de Arruda Pereira, 707;7º andar;Jabaquara;São Paulo;SP;Brasil;04309010;;5511;50291925;;5511;50291920;marcio.conde-souza@itau.com.br;2006-05-12;
02.932.074/0001-91;2021-01-01;1;103129;HYPERA S.A.;Banco Bradesco S.A.;60.746.948/0001-12;Endereço da Sede;Avenida Yara;: s/n;Cidade de Deus;São Paulo;SP;Brasil;06029900;;011;36849495;;011;36842811;4010.acecustodia@bradesco.com.br;2008-01-29;
