CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Plano_Recompra;Data_Deliberacao;Data_Inicio_Recompra;Data_Fim_Recompra;Valor_Reserva_Disponivel_Recompra;Outras_Caracteristicas_Importantes
01.027.058/0001-91;2021-01-01;13;115666;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;41958;2019-02-20;2019-08-01;2019-08-10;2247359000.00;Durante a reunião do Conselho de Administração realizada nesta data, foi aprovada a abertura de dois novos Programas de Recompra de Ações ("Programas"), por meio do qual a Diretoria foi autorizada a adquirir, em nome da Companhia, até 2.170.000 (dois milhões e cento e setenta mil) de ações ordinárias, sem valor nominal, de sua própria emissão, conforme detalhado no Comunicado sobre Negociação de Ações de Própria Emissão, preparado na forma do Anexo 30-XXXVI da Instrução CVM nº 480 divulgado nesta data.Nos Programas ora aprovados serão adquiridas o total de até 2.170.000 (dois milhões e cento e setenta mil) de ações ordinárias, sendo que, no primeiro Programa serão adquiridas até 1.100.000 ações (um milhão e cem mil ) com prazo de vigência entre 1º de março de 2019 e 10 de março de 2019, e no segundo Programa serão adquiridas até 1.070.000 ações (um milhão e setenta mil) com prazo de vigência entre 1º de agosto de 2019 e 10 de agosto de 2019. Fica a Diretoria da Companhia autorizada a definir a oportunidade e a quantidade a ser adquirida, sempre dentro dos limites autorizados.As operações de recompra serão realizadas em bolsa, a preços de mercado, com a intermediação da Bradesco S.A. Corretora de Títulos e Valores Mobiliários, com sede na Avenida Paulista, 1450, 7º andar, São Paulo, SP.A aquisição das ações tem como objetivo fazer frente aos compromissos assumidos pela Companhia no âmbito dos programas de remuneração, retenção e incentivo de seus colaboradores e administradores. Os membros do Conselho de Administração entendem que a situação financeira atual da Companhia é compatível com a possível execução dos Programas nas condições aprovadas e se sentem confortáveis de que a recompra de ações não prejudicará o cumprimento das obrigações assumidas com credores nem o pagamento de dividendos obrigatórios mínimos. Essa conclusão resulta da avaliação do potencial montante financeiro a ser empregado no Programa, levando-se em consideração (i) o nível de obrigações assumidas com credores, possuindo plena capacidade de pagamento dos compromissos financeiros assumidos e (ii) o fato de que as operações da Companhia são fortes geradoras de caixa.
01.027.058/0001-91;2021-01-01;13;115666;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;41959;2018-02-23;2018-02-23;2019-02-22;3341627752.13;Durante a reunião do Conselho de Administração realizada nesta data, foi autorizada a abertura de um novo Programa de Recompra de Ações ("Programa"), por meio do qual a Diretoria foi autorizada a adquirir, em nome da Companhia, até 1.550.000 (um milhão e quinhentos e cinquenta mil)de ações ordinárias, sem valor nominal, de sua própria emissão, equivalentes a aproximadamente 0,14% (zero vírgula catorze por cento) das ações em circulação da Companhia, de acordo com a definição dada pelo artigo 8º, §3º da Instrução CVM nº 567/15, a fim de atender ao exercício dasopções e/ou ações a serem outorgadas no âmbito do Plano de Opções de Compra de Ações ("Plano"), aprovado e aditado nas Assembleias Gerais Ordinárias e Extraordinárias realizadas em 01/06/2009 e 29/04/2011, respectivamente, e destinado a estatutários e não estatutários elegíveisconforme regras previstas no Plano. A autorização vigorará por 365 (trezentos e sessenta e cinco) dias, com início em 22 de fevereiro de 2018 e término em 22 de fevereiro de 2019, nos termos do art. 6º, da Instrução CVM nº 567/2015, e competirá à Diretoria definir a oportunidade e a quantidade a ser adquirida, dentro dos limitesautorizados e do prazo de validade da autorização com a realização das operações.As operações de recompra serão realizadas em bolsa, a preços de mercado, com a intermediação da Bradesco S.A. Corretora de Títulos e Valores Mobiliários, com sede na Avenida Paulista, 1450, 7º andar, São Paulo, SP e Votorantim Corretora de Títulos e Valores Mobiliários Ltda., com sede à Av. das Nações Unidas, 14.171 - Torre A - 14º andar - São Paulo - SP.
01.545.826/0001-07;2021-01-01;8;114205;GAFISA S.A.;41586;2020-04-30;2020-05-04;2021-05-04;498991000.00;
01.545.826/0001-07;2021-01-01;8;114205;GAFISA S.A.;41587;2018-09-28;2018-10-01;2019-10-01;250599000.00;Condição Específica de Execução do Programa: Em adição ao disposto na Instrução CVM nº 567/15, a aquisição de ações pela Companhia via Programa de Recompra está condicionada à manutenção da dívida líquida consolidada da Companhia em um nível igual ou inferior a 60% do seu patrimônio líquido no momento de aquisição das ações.Objetivo do Programa: As ações da Companhia adquiridas no âmbito do programa de recompra de ações serão mantidas em tesouraria com o objetivo de gerar valor aos acionistas da Companhia, podendo ser posteriormente canceladas, alienadas e/ou utilizadas em atendimento ao exercício de opções de compra de ações outorgadas pela Companhia. Quantidade de ações em circulação à época e já mantidas em tesouraria: Conforme definição do artigo 8º da Instrução CVM nº 567/15, em 28.09.2018, a Companhia (i) possui 43.896.669 ações em circulação no mercado, e (ii) 861.245 ações mantidas em tesouraria.
01.545.826/0001-07;2021-01-01;8;114205;GAFISA S.A.;41588;2016-03-03;2016-03-03;2017-09-02;268659126.75;Condição Específica de Execução do Programa: Em adição ao disposto na Instrução CVM nº 567/15, a aquisição de ações pela Companhia via Programa de Recompra está condicionada à manutenção da dívida líquida consolidada da Companhia em um nível igual ou inferior a 60% do seu patrimônio líquido no momento de aquisição das ações.Objetivo do Programa: aquisição de ações de própria emissão, em Bolsa de Valores, com vistas à aplicação de forma eficiente dos recursos disponíveis da Companhia, com expectativa de rentabilidade a médio e longo prazo. Adicionalmente, uma parcela das ações a serem adquiridas poderão ser destinadas ao exercício das opções e/ou ações a serem outorgadas no âmbito do Plano de Opção de Compra de Ações, conforme aprovado em Assembleia Geral Extraordinária da Companhia.Quantidade de ações em circulação à época e já mantidas em tesouraria: À época do plano a Companhia possuía 375.666.433 ações em circulação (conforme definição do Art. 8º, §3º, inciso I, da Instrução CVm nº 567/15) e 10.584.757 ações já mantidas em tesouraria.
01.545.826/0001-07;2021-01-01;8;114205;GAFISA S.A.;41589;2015-02-02;2015-02-02;2016-02-01;437155710.35;Condição Específica de Execução do Programa: Em adição ao disposto na Instrução CVM nº 10/80, a aquisição de ações pela Companhia via Programa de Recompra está condicionada à manutenção da dívida líquida consolidada da Companhia em um nível igual ou inferior a 60% do seu patrimônio líquido no momento de aquisição das ações.Objetivo do Programa: aquisição de ações de própria emissão, em Bolsa de Valores, com vistas à aplicação de forma eficiente dos recursos disponíveis da Companhia, com expectativa de rentabilidade a médio e longo prazoQuantidade de ações em circulação à época: conforme definição do Art. 5º da ICVM 10/80, a quantidade de ações de emissão da Gafisa em circulação no mercado era de 378.066.162 ações, equivalente à totalidade de ações representativas do capital da Companhia, na medida em que esta não possui acionista controlador.Percentual de Ações a serem adquiridas no Programa: as 27.000.000 ações ordinárias, correspondem a 10% das 378.066.162 ações ordinárias de emissão da Companhia em circulação no mercado, quando somadas as 10.806.616 ações mantidas à época em tesouraria na Companhia.
01.545.826/0001-07;2021-01-01;8;114205;GAFISA S.A.;41590;2014-11-18;2014-11-18;2015-11-17;437155710.35;Aditamento do Programa: este Programa foi aprovado inicialmente em 18/11/14 e aditado em 3/12/14. As condições aqui incluídas refletem a versão final aditada do ProgramaCondição Específica de Execução do Programa: Em adição ao disposto na Instrução CVM nº 10/80, a aquisição de ações pela Companhia via Programa de Recompra está condicionada à manutenção da dívida líquida consolidada da Companhia em um nível igual ou inferior a 60% do seu patrimônio líquido no momento de aquisição das ações.Objetivo do Programa: aquisição de ações de própria emissão, em Bolsa de Valores, com vistas à aplicação de forma eficiente dos recursos disponíveis da Companhia, com expectativa de rentabilidade a médio e longo prazo.Quantidade de ações em circulação à época: conforme definição do Art. 5º da ICVM 10/80, a quantidade de ações de emissão da Gafisa em circulação no mercado era de 408.066.162 ações, equivalente à totalidade de ações representativas do capital da Companhia, na medida em que esta não possui acionista controlador.Percentual de Ações a serem adquiridas no Programa: as 30.207.130 ações ordinárias, correspondem a 10% das 408.066.162 ações ordinárias de emissão da Companhia em circulação no mercado, quando somadas as 10.599.486 ações mantidas à época em tesouraria na Companhia.
01.545.826/0001-07;2021-01-01;8;114205;GAFISA S.A.;41591;2014-02-26;2014-02-26;2015-02-25;437155710.35;Condição Específica de Execução do Programa: Em adição ao disposto na Instrução CVM nº 10/80, a aquisição de ações pela Companhia via Programa de Recompra está condicionada à manutenção da dívida líquida consolidada da Companhia em um nível igual ou inferior a 60% do seu patrimônio líquido no momento de aquisição das ações.Objetivo do Programa: aquisição de ações de própria emissão, em Bolsa de Valores, com vistas à aplicação de forma eficiente dos recursos disponíveis da Companhia, com expectativa de rentabilidade a médio e longo prazo.Quantidade de ações em circulação à época: conforme definição do Art. 5º da ICVM 10/80, a quantidade de ações de emissão da Gafisa em circulação no mercado era de 435.559.201 ações, equivalente à totalidade de ações representativas do capital da Companhia, na medida em que esta não possui acionista controlador.Percentual de Ações a serem adquiridas no Programa: as 17.456.434 ações ordinárias, correspondem a 10% das 435.559.201 ações ordinárias de emissão da Companhia em circulação no mercado, quando somadas as 26.099.486 ações mantidas à época em tesouraria na Companhia e na Construtora Tenda S.A., sua subsidiária integral.
01.545.826/0001-07;2021-01-01;8;114205;GAFISA S.A.;41592;2013-12-09;2013-12-09;2014-12-08;611768472.32;Este Programa de Recompra de Ações foi aprovado pela Construtora Tenda S.A., subsidiária integral da CompanhiaCondição Específica de Execução do Programa: Em adição ao disposto na Instrução CVM nº 10/80, a aquisição de ações pela Companhia via Programa de Recompra está condicionada à manutenção da dívida líquida consolidada da Companhia em um nível igual ou inferior a 60% do seu patrimônio líquido no momento de aquisição das ações.Objetivo do Programa: aquisição de ações da Companhia, em Bolsa de Valores, com vistas à aplicação de forma eficiente dos recursos disponíveis da Construtora Tenda S.A., com expectativa de rentabilidade a médio e longo prazo.Quantidade de ações em circulação à época: conforme definição do Art. 5º da ICVM 10/80, a quantidade de ações de emissão da Companhia em circulação no mercado era de 435.380.407 ações, equivalente à totalidade de ações representativas do capital da Companhia, na medida em que esta não possui acionista controlador.Percentual de Ações a serem adquiridas no Programa: as 32.938.554 ações ordinárias, correspondem a 10% das 435.380.407 ações ordinárias de emissão da Companhia em circulação no mercado, quando somadas as 10.599.486 ações mantidas à época em tesouraria na Companhia e na Construtora Tenda S.A..
01.838.723/0001-27;2021-01-01;11;111776;BRF S.A.;40944;2020-03-26;2020-03-27;2021-03-26;142080151.23;O programa de recompra de ações de emissão da Companhia ("Programa de Recompra") tem por objetivo adquirir as ações para permanência em tesouraria, cancelar ou posteriormente aliená-las no mercado, bem como cumprir com as obrigações e compromissos assumidos pela Companhia no âmbito do Plano de Outorga de Opção de Compra de Ações, aprovado na Assembleia Geral Ordinária e Extraordinária de 08 de abril de 2015, e do Plano de Outorga de Ações Restritas, aprovado na Assembleia Geral Ordinária e Extraordinária de 08 de abril de 2015, alterado na Assembleia Geral Ordinária e Extraordinária de 26 de abril de 2017, na Assembleia Geral Extraordinária de 25 de maio de 2018 e na Assembleia Geral Ordinária e Extraordinária de 29 de abril de 2019. Em relação aos efeitos econômicos da operação, a Companhia entende que são de baixo impacto e que não afetarão o cumprimento das obrigações assumidas perante seus credores. Em 25 de maio de 2020, a Companhia concluiu o Programa de Recompra, tendo recomprado 4.836.000 ações ordinárias, representativas de aproximadamente 0,60% do seu capital social total.
01.896.779/0001-38;2021-01-01;6;113992;CSU DIGITAL S.A.;41515;2020-03-23;2020-03-23;2021-03-23;118204000.00;Nos termos do artigo 12 do Estatuto Social e da Instrução CVM nº 10/80 e demais disposições legais vigentes, os Membros do Conselho de Administração autorizam a aquisição de ações ordinárias nominativas de emissão da própria Companhia, sem redução do capital social, para manutenção em tesouraria e posterior alienação, cancelamento ou para fazer frente às obrigações da Companhia decorrentes de Plano de Retenção baseado em ações dirigidas aos executivos da Companhia, ficando a utilização das ações para este fim condicionada à autorização da Comissão de Valores Mobiliários, de acordo com os critérios a seguir: a) O Conselho de Administração entende ser oportuno indicar novo programa de recompra de ações ordinárias nominativas de emissão da própria Companhia como ferramenta estratégica na proteção de seu valor de mercado, para lastrear programas de remuneração variável baseado em outorga de ações e para posterior alienação ou cancelamento b) poderão ser adquiridas, a critério da Diretoria, até 3.000.000 (três milhões) ações ordinárias de emissão da Companhia, que correspondem a 16,47% das ações em circulação (conforme definição do artigo 5º da Instrução CVM nº 10/80) c) a aquisição deverá respeitar o limite do saldo de lucros ou reservas da Companhia, exceto a reserva legal, conforme determinação legal vigente d) o prazo de aquisição será de até 365 (trezentos e sessenta e cinco dias), a partir de 23 de março de 2020, ou seja, até 23 de março de 2021, inclusive e) a aquisição das ações será realizada em Bolsa de Valores, a preço de mercado e intermediada através das seguintes instituições: (a) Bradesco S.A. Corretora de Títulos e Valores Mobiliários Endereço: Av. Paulista, nº 1.450, 7º andar, São Paulo/SP, CNPJ: 61.855.045/0001-32, (b) BTG Pactual Corretora de Títulos e Valores Mobiliários S.A. Endereço: Av. Brigadeiro Faria Lima, nº 3.477, 14º andar, São Paulo/SP, CNPJ: 43.815.158/0001-22, (c) Credit Suisse (Brasil) S.A. Corretora de Títulos e Valores Mobiliários Endereço: Rua Leopoldo Couto de Magalhães Junior n° 700, 12° andar, São Paulo/SP, CNPJ: 42.584.318/0001-07 (d) Fator S/A - Corretora de valores Endereço: R. Dr. Renato Paes de Barros 1017, 11 e 12 andar, Itaim Bibi, São Paulo - SP CNPJ: 63.062.749/0001-83, (e) Brasil Plural Corretora de Câmbio, Títulos e Valores Mobiliários S.A Endereço: Rua Surubim, 373, cjs. 01 - parte e 02 - parte, São Paulo/SP, CNPJ: 05.816.451/0001-15, (f) Banco Santander (Brasil) S.A. Endereço: Av. Presidente Juscelino Kubitschek, 2041, e 2235 - Bloco A, São Paulo/ SP, CNPJ: 90.400.888/0001-42, ficando os Srs. Diretores autorizados a participar de todos os atos necessários para tanto, devendo ser apresentado ao Conselho de Administração periodicamente um resumo das compras de ações realizadas. Em 26/06/2018, o Conselho de Administração da Companhia deliberou pelo encerramento do referido programa.
01.896.779/0001-38;2021-01-01;6;113992;CSU DIGITAL S.A.;41516;2018-03-05;2018-03-05;2018-06-26;81800000.00;Nos termos do artigo 12 do Estatuto Social e da Instrução CVM nº 10/80 e demais disposições legais vigentes, os Membros do Conselho de Administração autorizam a aquisição de ações ordinárias nominativas de emissão da própria Companhia, sem redução do capital social, para manutenção em tesouraria e posterior alienação, cancelamento ou para fazer frente às obrigações da Companhia decorrentes de Plano de Retenção baseado em ações dirigidas aos executivos da Companhia, ficando a utilização das ações para este fim condicionada à autorização da Comissão de Valores Mobiliários, de acordo com os critérios a seguir: a) O Conselho de Administração entende ser oportuno indicar novo programa de recompra de ações ordinárias nominativas de emissão da própria Companhia como ferramenta estratégica na proteção de seu valor de mercado, para lastrear programas de remuneração variável baseado em outorga de ações e para posterior alienação ou cancelamento b) poderão ser adquiridas, a critério da Diretoria, até 1.000.000 (um milhão) ações ordinárias de emissão da Companhia, que correspondem a 6,01% das ações em circulação (conforme definição do artigo 5º da Instrução CVM nº 10/80) c) a aquisição deverá respeitar o limite do saldo de lucros ou reservas da Companhia, exceto a reserva legal, conforme determinação legal vigente d) o prazo de aquisição será de até 365 (trezentos e sessenta e cinco dias), a partir de 05 de março de 2018, ou seja, até 05 de março de 2019, inclusive e) a aquisição das ações será realizada em Bolsa de Valores, a preço de mercado e intermediada através das seguintes instituições: (a) Bradesco S.A. Corretora de Títulos e Valores Mobiliários Endereço: Av. Paulista, nº 1.450, 7º andar, São Paulo/SP, CNPJ: 61.855.045/0001-32, (b) BTG Pactual Corretora de Títulos e Valores Mobiliários S.A. Endereço: Av. Brigadeiro Faria Lima, nº 3.477, 14º andar, São Paulo/SP, CNPJ: 43.815.158/0001-22, (c) Credit Suisse (Brasil) S.A. Corretora de Títulos e Valores Mobiliários Endereço: Rua Leopoldo Couto de Magalhães Junior n° 700, 12° andar, São Paulo/SP, CNPJ: 42.584.318/0001-07 (d) Fator S/A - Corretora de valores Endereço: R. Dr. Renato Paes de Barros 1017, 11 e 12 andar, Itaim Bibi, São Paulo - SP CNPJ: 63.062.749/0001-83, (e) Brasil Plural Corretora de Câmbio, Títulos e Valores Mobiliários S.A Endereço: Rua Surubim, 373, cjs. 01 - parte e 02 - parte, São Paulo/SP, CNPJ: 05.816.451/0001-15, ficando os Srs. Diretores autorizados a participar de todos os atos necessários para tanto, devendo ser apresentado ao Conselho de Administração periodicamente um resumo das compras de ações realizadas. Em 26/06/2018, o Conselho de Administração da Companhia deliberou pelo encerramento do referido programa.
02.149.205/0001-69;2021-01-01;7;113901;PORTO SEGURO S.A.;41484;2021-02-03;2021-02-03;2022-02-02;0.00;Em 03 de fevereiro de 2021, o Conselho de Administração aprovou a renovação do programa de recompra de ações com as seguintes condições: (i) Objetivo do Programa de Recompra de ações, por meio da aquisição de ações de emissão da Companhia para manutenção em tesouraria, cancelamento ou alienação, sem redução do capital social, e/ou vinculação ao plano de remuneração em ações da Companhia, tem por principal objetivo, havendo condições propícias, criar alternativa adicional para geração de valor para os acionistas (ii) Vigência do programa: entre 03 de fevereiro de 2021 e 02 de fevereiro de 2022 (iii) Quantidade de ações a serem adquiridas: até o limite de 5 milhões de ações (iv) instituição Financeira autorizada: Itaú Corretora de Valores S.A.
02.149.205/0001-69;2021-01-01;7;113901;PORTO SEGURO S.A.;41485;2020-01-31;2020-02-02;2021-01-31;0.00;Em 30 de janeiro de 2020, o Conselho de Administração aprovou a renovação do programa de recompra de ações com as seguintes condições: (i) Objetivo do Programa de Recompra de ações, por meio da aquisição de ações de emissão da Companhia para manutenção em tesouraria, cancelamento ou alienação, sem redução do capital social, e/ou vinculação ao plano de remuneração em ações da Companhia, tem por principal objetivo, havendo condições propícias, criar alternativa adicional para geração de valor para os acionistas (ii) Vigência do programa: entre 02 de fevereiro de 2020 e 31 de janeiro de 2021 (iii) Quantidade de ações a serem adquiridas: até o limite de 5 milhões de ações (iv) instituição Financeira autorizada: Itaú Corretora de Valores S.A.
02.149.205/0001-69;2021-01-01;7;113901;PORTO SEGURO S.A.;41486;2019-01-31;2019-02-01;2020-02-01;0.00;Em 30 de janeiro de 2019, o Conselho de Administração aprovou a renovação do programa de recompra de ações com as seguintes condições: (i) Objetivo do programa: O Programa de Recompra de ações, por meio da aquisição de ações de emissão da Companhia para manutenção em tesouraria, cancelamento ou alienação, sem redução do capital social, e/ou vinculação ao plano de remuneração em ações da Companhia, tem por objetivo, havendo condições propícias, criar alternativa adicional para geração de valor para os acionistas (ii) Vigência do programa: entre 01 de fevereiro de 2019 e 01 de fevereiro de 2020 (iii) Quantidade de ações a serem adquiridas: até o limite de 5 milhões de ações (iv) Instituição Financeira Autorizada: Itaú Corretora de Valores S.A.
